site_No.	date	avg_temp	low_temp	low_temp_hhmm	high_temp	high_temp_hhmm	precipitation	max_wind_speed	avg_wind_speed	degree_of_max_wind_speed	year	month	site	PM	Li_ppm	_ppm	NH4_ppm	K_ppm	Mg_ppm	Ca_ppm	F_ppm	Cl_ppm	NO2_ppm	Br_ppm	NO3_ppm	PO4_ppm	SO4_ppm	Li	NA	NH4	K	Mg	Ca	F	Cl	NO2	Br	NO3	PO4	SO4	Li_eq	_eq	NH4_eq	K_eq	Mg_eq	Ca_eq	F_eq	Cl_eq	NO2_eq	Br_eq	NO3_eq	PO4_eq	SO4_eq	Pb	Cd	Cr	Cu	Mn	Fe	Ni	As	Be	Al	Ca_M	Mg_M	OC	EC	TC
545	2015-06-08	20.3	13.7	250	26.6	1439	0	6.7	0.7	273.7	2015	6	Ansan	68	0	1.95	8.201	0.531	0.274	1.354	0	0.198	0	0.196	4.048	0	28.54	0	0.805	3.384	0.219	0.113	0.559	0	0.082	0	0.081	1.671	0	11.777	0	0.34	1.819	0.054	0.09	0.279	0	0.024	0	0.011	0.261	0	2.379	0.0682	0.0018	0.012	0.0661	0.0351	0.7829	0.0082	0.002	0	0.6881	0.764	0.2582	5.24	0.78	6.02
545	2015-06-09	19.7	14.9	2323	26.6	1336	0	8.8	1.2	286.3	2015	6	Ansan	77.6	0.014	1.259	14.902	0.767	0.327	1.494	0	0.36	0	0.327	17.467	0	38.602	0.005	0.498	5.898	0.304	0.129	0.591	0	0.143	0	0.129	6.913	0	15.278	0.008	0.22	3.305	0.079	0.108	0.307	0	0.042	0	0.017	1.127	0	3.217	0.2478	0.0046	0.0107	0.192	0.0662	0.8978	0.009	0.0046	0	0.4716	0.494	0.1717	4.48	0.9	5.38
545	2015-06-10	21.4	12.6	334	32.1	1320	0	7.6	0.9	285.5	2015	6	Ansan	80.6	0	1.045	8.734	0.303	0.154	0.651	0	0.247	0	0.148	17.795	0	14.274	0	0.888	7.423	0.257	0.131	0.553	0	0.21	0	0.126	15.124	0	12.131	0	0.182	1.937	0.031	0.051	0.139	0	0.029	0	0.008	1.148	0	1.191	0.0376	0	0.0112	0.0292	0.0167	0.5798	0.0055	0	0	0.5054	0.7685	0.2715	8.04	0.82	8.85
545	2015-06-11	22.1	15.3	438	28	1135	0.5	8.2	0.7	91.7	2015	6	Ansan	75.6	0	0.612	11.445	0.594	0.205	1.445	0	0.22	0	0.2	15.034	0	25.349	0	0.243	4.545	0.236	0.081	0.574	0	0.088	0	0.079	5.97	0	10.066	0	0.107	2.538	0.061	0.067	0.297	0	0.026	0	0.011	0.97	0	2.113	0.03	0.0018	0.0081	0.0381	0.0321	0.7922	0.0064	0.0025	0	0.5532	0.5337	0.1571	10.37	0.98	11.35
545	2015-06-12	22.7	17.4	515	30.1	1406	0	9.7	1	292.6	2015	6	Ansan	50.8	0	1.01	6.745	0.311	0.168	0.822	0	0.176	0	0.124	6.513	0	17.529	0	0.737	4.918	0.227	0.122	0.599	0	0.128	0	0.091	4.748	0	12.78	0	0.177	1.496	0.032	0.055	0.173	0	0.021	0	0.007	0.42	0	1.462	0.0176	0	0.011	0.3422	0.026	0.5394	0.0065	0	0	0.4455	0.7411	0.2594	4.83	0.46	5.3
545	2015-07-06	22.1	15.3	552	29.2	1221	0	7	0.9	288.2	2015	7	Ansan	42.5	0	0.866	3.953	0.498	0.302	1.899	0	0.452	0	0.203	3.375	0	14.941	0	0.344	1.57	0.198	0.12	0.754	0	0.18	0	0.081	1.34	0	5.933	0	0.151	0.877	0.051	0.099	0.379	0	0.052	0	0.011	0.219	0	1.246	0.0961	0.0104	0.0212	0.1081	0.0512	0.8775	0.0117	0.0025	0	0.5205	0.8065	0.1844	4.23	1.16	5.39
545	2015-07-07	22.9	16.9	524	28.5	1555	0	4.8	0.6	162.8	2015	7	Ansan	45.7	0	0.75	6.314	0.423	0.209	1.206	0	0.735	0	0.148	8.155	0	14.153	0	0.298	2.511	0.168	0.083	0.479	0	0.292	0	0.059	3.243	0	5.627	0	0.131	1.4	0.043	0.069	0.241	0	0.084	0	0.008	0.527	0	1.18	0.0253	0.0012	0.0053	0.0365	0.0292	0.7557	0.005	0.0022	0	0.5583	0.5569	0.1483	6.02	1.36	7.38
545	2015-07-08	22.6	18.3	300	25.8	1612	0.5	7.6	1.3	86.3	2015	7	Ansan	24.5	0	0.354	1.355	0.176	0.083	0.688	0	1.095	0	0.08	3.148	0	2.187	0	0.14	0.537	0.07	0.033	0.273	0	0.434	0	0.032	1.247	0	0.866	0	0.062	0.3	0.018	0.027	0.137	0	0.125	0	0.004	0.204	0	0.183	0.0046	0.0001	0.0034	0.0053	0.021	0.2743	0.0007	0.0005	0	0.1214	0.2093	0.0369	3.64	0.66	4.3
545	2015-07-09	25.4	21	538	32.3	1321	0	6.6	1.2	109.9	2015	7	Ansan	21.8	0	0.247	0.619	0.179	0.081	0.483	0	0.435	0	0.087	2.06	0	1.426	0	0.098	0.246	0.071	0.032	0.192	0	0.173	0	0.035	0.82	0	0.567	0	0.043	0.137	0.018	0.027	0.096	0	0.05	0	0.005	0.134	0	0.12	0.0065	0.0003	0.0027	0.0047	0.0134	0.3066	0.0026	0.0006	0	0.2079	0.2741	0.0529	3.57	0.58	4.15
545	2015-07-10	26.1	19.6	523	33.3	1531	0	6.1	0.9	290.7	2015	7	Ansan	59.3	0	0.698	5.812	0.361	0.161	1.451	0	1.211	0	0.314	14.026	0	7.715	0	0.279	2.322	0.144	0.064	0.579	0	0.484	0	0.125	5.603	0	3.082	0	0.122	1.289	0.037	0.053	0.29	0	0.138	0	0.016	0.906	0	0.644	0.1014	0.0062	0.0124	0.1044	0.0449	0.7252	0.0069	0.0022	0	0.369	0.5117	0.1035	7.94	1.48	9.42
545	2015-08-11	24.9	20.6	44	29.6	1433	0	3.8	0.2	170.9	2015	8	Ansan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
545	2015-08-12	25.2	19.4	553	31.2	1209	0	7.1	0.9	263.7	2015	8	Ansan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
545	2015-08-13	25.7	21.4	129	30.6	1436	0	7.6	1	284.2	2015	8	Ansan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
545	2015-08-14	25.5	21.4	2340	30.8	1343	0	7.8	0.9	290.9	2015	8	Ansan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
