"site_No.","date","avg_temp","low_temp","low_temp_hhmm","high_temp","high_temp_hhmm","precipitation","max_wind_speed","avg_wind_speed","degree_of_max_wind_speed","site","PM","Na_ion","NH4_ion","K_ion","Mg_ion","Ca_ion","F_ion","Cl_ion","NO2_ion","Br_ion","NO3_ion","SO4_ion","Pb","Cd","Cr","Cu","Mn","Fe","Ni","As","Be","Al","Ca_M","Mg_M","OC","EC","TC","ion_sum","metal_sum"
545,2015-06-08,20.3,13.7,250,26.6,1439,0,6.7,0.7,273.7,"Ansan",68,0.805,3.384,0.219,0.113,0.559,0,0.082,0,0.081,1.671,11.777,0.0682,0.0018,0.012,0.0661,0.0351,0.7829,0.0082,0.002,0,0.6881,0.764,0.2582,5.24,0.78,6.02,18.691,2.6866
545,2015-06-09,19.7,14.9,2323,26.6,1336,0,8.8,1.2,286.3,"Ansan",77.6,0.498,5.898,0.304,0.129,0.591,0,0.143,0,0.129,6.913,15.278,0.2478,0.0046,0.0107,0.192,0.0662,0.8978,0.009,0.0046,0,0.4716,0.494,0.1717,4.48,0.9,5.38,29.883,2.57
545,2015-06-10,21.4,12.6,334,32.1,1320,0,7.6,0.9,285.5,"Ansan",80.6,0.888,7.423,0.257,0.131,0.553,0,0.21,0,0.126,15.124,12.131,0.0376,0,0.0112,0.0292,0.0167,0.5798,0.0055,0,0,0.5054,0.7685,0.2715,8.04,0.82,8.85,36.843,2.2254
545,2015-06-11,22.1,15.3,438,28,1135,0.5,8.2,0.7,91.7,"Ansan",75.6,0.243,4.545,0.236,0.081,0.574,0,0.088,0,0.079,5.97,10.066,0.03,0.0018,0.0081,0.0381,0.0321,0.7922,0.0064,0.0025,0,0.5532,0.5337,0.1571,10.37,0.98,11.35,21.882,2.1552
545,2015-06-12,22.7,17.4,515,30.1,1406,0,9.7,1,292.6,"Ansan",50.8,0.737,4.918,0.227,0.122,0.599,0,0.128,0,0.091,4.748,12.78,0.0176,0,0.011,0.3422,0.026,0.5394,0.0065,0,0,0.4455,0.7411,0.2594,4.83,0.46,5.3,24.35,2.3887
545,2015-07-06,22.1,15.3,552,29.2,1221,0,7,0.9,288.2,"Ansan",42.5,0.344,1.57,0.198,0.12,0.754,0,0.18,0,0.081,1.34,5.933,0.0961,0.0104,0.0212,0.1081,0.0512,0.8775,0.0117,0.0025,0,0.5205,0.8065,0.1844,4.23,1.16,5.39,10.52,2.6901
545,2015-07-07,22.9,16.9,524,28.5,1555,0,4.8,0.6,162.8,"Ansan",45.7,0.298,2.511,0.168,0.083,0.479,0,0.292,0,0.059,3.243,5.627,0.0253,0.0012,0.0053,0.0365,0.0292,0.7557,0.005,0.0022,0,0.5583,0.5569,0.1483,6.02,1.36,7.38,12.76,2.1239
545,2015-07-08,22.6,18.3,300,25.8,1612,0.5,7.6,1.3,86.3,"Ansan",24.5,0.14,0.537,0.07,0.033,0.273,0,0.434,0,0.032,1.247,0.866,0.0046,1e-04,0.0034,0.0053,0.021,0.2743,7e-04,5e-04,0,0.1214,0.2093,0.0369,3.64,0.66,4.3,3.632,0.6775
545,2015-07-09,25.4,21,538,32.3,1321,0,6.6,1.2,109.9,"Ansan",21.8,0.098,0.246,0.071,0.032,0.192,0,0.173,0,0.035,0.82,0.567,0.0065,3e-04,0.0027,0.0047,0.0134,0.3066,0.0026,6e-04,0,0.2079,0.2741,0.0529,3.57,0.58,4.15,2.234,0.8723
545,2015-07-10,26.1,19.6,523,33.3,1531,0,6.1,0.9,290.7,"Ansan",59.3,0.279,2.322,0.144,0.064,0.579,0,0.484,0,0.125,5.603,3.082,0.1014,0.0062,0.0124,0.1044,0.0449,0.7252,0.0069,0.0022,0,0.369,0.5117,0.1035,7.94,1.48,9.42,12.682,1.9878
