"site_No.","date","avg_temp","low_temp","low_temp_hhmm","high_temp","high_temp_hhmm","precipitation","max_wind_speed","avg_wind_speed","degree_of_max_wind_speed","site","PM","Na_ion","NH4_ion","K_ion","Mg_ion","Ca_ion","F_ion","Cl_ion","NO2_ion","Br_ion","NO3_ion","SO4_ion","Pb","Cd","Cr","Cu","Mn","Fe","Ni","As","Be","Al","Ca_M","Mg_M","OC","EC","TC","ion_sum","metal_sum"
637,2015-06-08,21.1,16.2,406,27.1,1626,0,6.4,1.3,337.5,"Pyeongteak",67.5,0.547,4.355,0.251,0.11,0.631,0,0.033,0,0.069,5.021,11.384,0.0192,8e-04,0.0022,0.0185,0.0392,0.6733,0.0077,0,0,0.598,0.6138,0.1753,5.24,0.7,5.94,22.401,2.148
637,2015-06-09,19.9,16,410,27.4,1431,0,5.9,1.5,281.3,"Pyeongteak",61,0.375,6.33,0.182,0.096,0.524,0,0.036,0,0.083,4.263,17.968,0.0093,0,0.0018,0.0096,0.0165,0.4877,0.0074,0,0,0.4261,0.5341,0.1426,3.82,0.67,4.48,29.857,1.6351
637,2015-06-10,23.1,15.3,504,33.6,1443,0,6.5,1.4,300.9,"Pyeongteak",92.5,0.308,10.163,0.311,0.145,1.042,0,0.035,0,0.092,23.936,17.739,0.0181,9e-04,0.0038,0.0143,0.0399,0.8784,0.0144,0.0017,0,0.6856,0.861,0.2267,6.92,0.88,7.8,53.771,2.7448
637,2015-06-11,22,17.6,535,25.7,1438,3.5,6.2,1.7,213.8,"Pyeongteak",77.7,0.238,6.233,0.322,0.101,0.894,0,0.043,0,0.073,12.698,11.539,0.025,0.0025,0.0074,0.0292,0.0617,1.0916,0.008,0.0026,0,0.6946,0.7394,0.1992,7.67,0.9,8.58,32.141,2.8612
637,2015-06-12,23.7,19.1,622,29.7,1406,0,9.5,3.3,317.8,"Pyeongteak",67.9,0.332,3.497,0.425,0.145,2.21,0,0.046,0,0.062,1.473,15.484,0.0201,0,0.0039,0.0667,0.0356,0.9044,0.0063,0.0022,0,0.8861,1.3848,0.345,6.05,0.77,6.82,23.674,3.6551
637,2015-07-06,22.9,17,533,30.1,1458,0,5.4,1.3,281.3,"Pyeongteak",41,0.321,3,0.178,0.124,0.865,0,0.096,0,0.049,3.822,8.255,0.0133,6e-04,0.0021,0.0289,0.0287,0.5949,0.017,0.0012,0,0.4348,0.7088,0.1568,4.31,0.98,5.29,16.71,1.9871
637,2015-07-07,21.9,18.8,552,26.5,1241,0.5,8.5,2.4,78.8,"Pyeongteak",41.5,0.202,3.009,0.172,0.077,0.409,0,0.137,0,0.047,5.851,5.112,0.0142,7e-04,0.0067,0.0247,0.0749,0.8885,0.0095,0.0019,0,0.4154,0.4164,0.1213,4.83,1.36,6.19,15.016,1.9742
637,2015-07-08,21.5,18.5,208,24.2,1116,4,6.9,3.7,112.5,"Pyeongteak",15.1,0.063,0.584,0.063,0.032,0.126,0,0.104,0,0.029,1.405,0.862,0.0036,2e-04,0,0.0018,0.0373,0.2689,0,9e-04,0,0.0641,0.1252,0.031,1.67,0.4,2.07,3.268,0.533
637,2015-07-09,23.6,20.8,515,27.5,1225,0,6.9,3.4,118.1,"Pyeongteak",15,0.138,0.282,0.186,0.037,0.14,0,0.164,0,0.111,1.017,0.577,0.0035,2e-04,0.0036,0.0031,0.0525,0.4308,0.0019,7e-04,0,0.1242,0.1597,0.0459,2.43,0.42,2.85,2.652,0.8261
637,2015-07-10,26.7,22.2,411,33.9,1553,0,4.9,1.8,98.4,"Pyeongteak",37.9,0.183,2.73,0.113,0.055,0.26,0,0.081,0,0.046,6.029,3.428,0.0058,3e-04,0.0019,0.0099,0.0426,0.4701,0.0182,9e-04,0,0.214,0.2893,0.0773,5.79,0.81,6.6,12.925,1.1303
637,2015-08-11,24.7,21.6,10,28.1,1305,0,4.4,1.3,196.9,"Pyeongteak",32.3,0.514,2.387,0.154,0.095,0.694,0,0.145,0,0.096,1.315,8.667,0.0238,6e-04,0.003,0.0087,0.0217,0.6503,0.0076,0.0036,0,0.197,0.5769,0.1368,4.22,0.69,4.91,14.067,1.63
637,2015-08-12,25.9,21.6,250,32.8,1413,0,5.8,1.9,298.1,"Pyeongteak",70.3,0.405,8.693,0.314,0.154,1.107,0,0.305,0,0.175,13.753,16.526,0.0404,0.0017,0.0071,0.0304,0.0697,0.9888,0.0103,0.0068,0,0.3645,0.9032,0.1652,6.98,0.86,7.84,41.432,2.5881
637,2015-08-13,25.6,21.5,534,31.4,1519,0,4.8,1.5,334.7,"Pyeongteak",59,0.325,7.198,0.305,0.095,0.507,0,0.221,0,0.128,6.876,22.243,0.0591,9e-04,0.0062,0.013,0.052,0.8338,0.0079,0.0034,0,0.4279,0.4885,0.1672,6.63,0.76,7.39,37.898,2.0599
