"site_No.","date","avg_temp","low_temp","low_temp_hhmm","high_temp","high_temp_hhmm","precipitation","max_wind_speed","avg_wind_speed","degree_of_max_wind_speed","site","PM","Na_ion","NH4_ion","K_ion","Mg_ion","Ca_ion","F_ion","Cl_ion","NO2_ion","Br_ion","NO3_ion","SO4_ion","Pb","Cd","Cr","Cu","Mn","Fe","Ni","As","Be","Al","Ca_M","Mg_M","OC","EC","TC","ion_sum","metal_sum"
119,2017-03-06,1.2,-1.8,645,5.6,1302,NA,11.6,3.5,320,"Suwon",38,0.305,3.938,0.386,0.054,0.268,0.052,0.578,0,0,6.475,5.809,0.0236,8e-04,0.0039,0.009,0.0195,0.427,0.0019,0.0055,0,0.3236,0.5054,0.1343,6.76,1.17,7.93,17.865,1.4545
119,2017-03-07,-0.5,-2.9,719,2.8,1326,NA,8.7,3.5,320,"Suwon",30.5,0.311,2.124,0.289,0.082,0.205,0.055,0.649,0,0,3.584,3.293,0.0184,6e-04,0.0025,0.0087,0.0178,0.4688,0.0016,0.0029,0,0.4457,0.5585,0.22,5.05,0.63,5.68,10.592,1.7455
119,2017-03-08,0.7,-5.6,510,6.1,1319,0,10.4,2.8,270,"Suwon",40.3,0.623,2.644,0.347,0.212,0.501,0.069,1.266,0,0,6.027,3.552,0.0274,8e-04,0.0029,0.0139,0.0243,0.7152,0.0023,0.0048,0,0.7032,0.8155,0.3903,4.89,0.93,5.83,15.241,2.7006
119,2017-03-09,3.2,-3.5,455,10.1,1439,NA,10,2.8,270,"Suwon",48.4,0.892,3.272,0.371,0.183,0.546,0.076,1.578,0,0,7.624,4.239,0.0245,9e-04,0.0037,0.0174,0.0315,0.8414,0.0037,0.0058,0,0.8546,0.9703,0.3966,5.2,0.96,6.16,18.781,3.1504
119,2017-03-10,4.2,-2.7,602,12.2,1332,NA,7.1,1.5,270,"Suwon",45.1,0.366,3.836,0.352,0.113,0.317,0.063,2.297,0,0,6.801,3.22,0.0527,0.0013,0.0059,0.0393,0.025,0.6667,0.0045,0.0031,0,0.5673,0.674,0.2902,7.24,0.95,8.19,17.365,2.33
119,2017-04-10,15.6,10.3,505,22,1625,NA,8.2,2.9,110,"Suwon",22.4,0.272,0.911,0.357,0,0.332,0.051,0.342,0,0,1.967,1.882,0.0104,4e-04,0.0031,0.0117,0.0126,0.4077,0.0014,0.0018,0,0.4046,0.5525,0.1155,5.02,0.59,5.61,6.114,1.5217
119,2017-04-11,13.7,9.9,538,19,1255,0,11,3.1,270,"Suwon",55,0.64,2.462,0.431,0.126,0.752,0.057,0.496,0,0,7.288,3.619,0.0352,9e-04,0.0051,0.025,0.0397,1.4314,0.0036,0.0104,0,1.4548,1.4477,0.4605,6.87,1.1,7.97,15.871,4.9143
119,2017-04-12,12,8,2252,16.6,1209,NA,9.8,3.4,320,"Suwon",52.6,0.342,0.466,0.231,0.065,0.647,0.059,0.269,0,0,1.246,1.948,0.0116,5e-04,0.0039,0.0175,0.0441,1.8611,0.0031,0.0051,0,2.1995,1.6614,0.5689,5.2,0.85,6.05,5.273,6.3767
119,2017-04-13,12.3,4.8,500,20.4,1437,NA,8,2.1,250,"Suwon",69.9,1.179,5.283,0.405,0.196,1.067,0.07,0.837,0,0,15.704,6.026,0.0238,0.0011,0.0061,0.0151,0.0454,1.5275,0.0081,0.0038,0,1.49,1.3804,0.5093,6.78,1.03,7.81,30.767,5.0106
119,2017-04-14,12.8,6.7,518,18.7,1022,0,15.1,2.7,200,"Suwon",65.8,1.519,4.398,0.362,0.217,1.064,0.064,1.558,0.151,0,13.929,5.224,0.0213,8e-04,0.0056,0.0144,0.0505,1.6843,0.0059,0.0027,0,1.4227,1.4674,0.4894,6.26,1.18,7.44,28.486,5.165
119,2017-05-08,17,9.3,257,23.7,1302,NA,6.8,1.6,200,"Suwon",178.1,0.944,3.637,0.558,0.642,4.429,0.167,0.621,0,0,14.892,10.567,0.0445,0.0018,0.0155,0.0327,0.1547,5.85,0.0161,0.0045,2e-04,7.3819,6.0193,3.3588,10.11,0.94,11.05,36.457,22.88
119,2017-05-09,16.3,13.6,821,21.3,1240,2.9,8.9,2,110,"Suwon",56.9,0.171,2.492,0.273,0.153,1.233,0.058,0.177,0,0,5.814,4.287,0.0098,5e-04,0.0028,0.0093,0.0365,1.0716,0.005,0.0016,0,1.4492,0.9735,0.6228,4.72,0.51,5.23,14.658,4.1826
119,2017-05-10,15.7,13.2,2140,20.9,1421,4.6,7.8,2.1,270,"Suwon",58.1,0.283,3.962,0.307,0.139,0.746,0.059,0.18,0,0,9.588,4.794,0.0293,9e-04,0.0023,0.0152,0.0308,0.9779,0.0049,0.0159,0,1.2892,0.7494,0.5361,4.88,0.52,5.4,20.058,3.6519
119,2017-05-11,18.5,12.5,205,25,1610,0.3,5,1.3,200,"Suwon",115.8,0.573,11.71,0.497,0.214,1.183,0.086,0.502,0,0,27.77,14.056,0.0299,0.0012,0.0061,0.0415,0.0584,1.5219,0.0104,0.0065,0,1.5406,1.2469,0.6386,11.26,1.14,12.4,56.591,5.102
119,2017-05-12,18.7,14.6,2345,22.9,1136,0.2,7.2,1.4,200,"Suwon",71.6,0.52,8.025,0.474,0.155,0.744,0.07,0.6,0,0,15.634,10.998,0.0263,0.001,0.0057,0.0174,0.0389,0.8623,0.01,0.0056,0,0.7901,0.6528,0.3679,7.85,0.89,8.73,37.22,2.778
119,2017-06-12,21.6,17.3,517,27.2,1526,NA,7.2,2.8,110,"Suwon",27.6,0.495,1.789,0.245,0.055,0.307,0,0.128,0,0,3.229,3.596,0.0113,9e-04,0.0096,0.0125,0.0172,0.6059,0.0096,0.0032,0,0.5778,0.5346,0.1913,3.67,0.43,4.1,9.844,1.9739
119,2017-06-13,20.4,16.4,417,26.3,1341,0.3,8.4,2.1,250,"Suwon",32.2,1.138,2.997,0.245,0.108,0.26,0,0.431,0,0,4.965,6.202,0.0209,9e-04,0.0248,0.0209,0.0166,0.506,0.0227,0.0023,0,0.3007,0.3288,0.2274,2.7,0.52,3.21,16.346,1.472
119,2017-06-14,20.8,17.2,444,26.3,1400,NA,8.2,2.4,270,"Suwon",37.9,1.172,4.129,0.273,0.157,0.25,0,0.234,0,0,5.729,9.188,0.0205,4e-04,0.002,0.0151,0.0157,0.4916,0.0063,0.0032,0,0.419,0.3893,0.2865,2.86,0.59,3.45,21.132,1.6496
119,2017-06-15,22.1,16.2,539,29,1352,NA,6.7,1.9,250,"Suwon",41,1.089,3.826,0.331,0.156,0.336,0.054,0.149,0,0,4.881,9.201,0.0149,4e-04,0.0019,0.0144,0.02,0.6064,0.0067,0.0047,0,0.5194,0.4979,0.2617,3.54,0.77,4.31,20.023,1.9484
119,2017-06-16,24.1,18.5,500,32.2,1525,NA,7,1.9,270,"Suwon",61.8,0.895,7.109,0.522,0.163,0.602,0.075,0.135,0,0,9.334,14.747,0.0301,0.001,0.0037,0.0221,0.0296,0.8952,0.0082,0.0051,0,0.6968,0.7594,0.2927,5.88,0.91,6.79,33.582,2.7439
119,2017-07-10,24.8,23.2,1,26.1,1356,69.5,10.3,2.2,200,"Suwon",19.5,0.305,1.456,0.108,0.04,0.089,0,0.102,0,0,1.021,3.531,0.0048,3e-04,0.0026,0.006,0.0084,0.1445,0.0022,0.001,0,0.0637,0.0514,0.0559,3.26,0.32,3.58,6.652,0.3408
119,2017-07-11,26.1,22.2,514,32,1523,1.3,6.2,1.7,250,"Suwon",52.4,0.228,6.821,0.177,0.062,0.323,0,0.344,0.071,0,6.042,13.921,0.0183,6e-04,0.0027,0.0206,0.02,0.5888,0.0024,0.0025,0,0.2883,0.2825,0.0983,4.18,0.53,4.71,27.989,1.325
119,2017-07-12,26.3,23.2,2358,31.9,1546,0,5.8,1.7,270,"Suwon",47.8,0.129,7.876,0.158,0.044,0.223,0,0.029,0.005,0,1.848,20.247,0.0202,7e-04,0.0043,0.0169,0.0184,0.5021,0.0028,0.0022,0,0.2846,0.2101,0.0739,3.2,0.75,3.95,30.559,1.1362
119,2017-07-13,27,21.5,420,32.3,1512,NA,5.3,1.2,320,"Suwon",54,0.157,7.039,0.233,0.066,0.371,0,0.063,0.136,0,4.838,15.755,0.0427,0.0047,0.0047,0.0388,0.0261,0.7738,0.0034,0.0042,0,0.5067,0.4463,0.1385,6.51,0.77,7.28,28.658,1.9899
119,2017-07-14,28.2,24.4,132,33.9,1410,0.2,8.5,1.9,250,"Suwon",46.2,0.388,4.569,0.202,0.082,0.471,0,0.057,0.141,0,1.421,12.263,0.0347,0.0028,0.0061,0.0323,0.0469,0.7522,0.0061,0.0032,0,0.4074,2.0136,0.2311,7.15,0.44,7.59,19.594,3.5364
119,2017-08-14,23.6,22.3,2118,25.6,900,8,9.5,2.9,110,"Suwon",10.3,0.147,0.177,0.056,0.023,0.164,0,0.015,0.153,0,0.346,0.88,0.0016,1e-04,4e-04,0.0073,0.0044,0.1744,0,0.0012,0,0.1202,0.1762,0.0467,2.31,0.41,2.72,1.961,0.5325
119,2017-08-15,22.3,21.1,440,23.8,158,50.9,7,2.8,110,"Suwon",5.9,0.058,0.127,0.058,0.022,0.098,0,0.013,0,0,0.117,0.569,0.001,1e-04,4e-04,0.0046,0.0023,0.0769,0,9e-04,0,0.0376,0.0886,0.0192,2.03,0.23,2.26,1.062,0.2316
119,2017-08-16,24.1,21.6,513,27.9,1343,1.9,6.9,2.5,110,"Suwon",9.4,0.025,0.114,0.065,0.013,0.098,0,0.009,0.081,0,0.206,0.456,0.0012,1e-04,0.0015,0.0072,0.0039,0.1687,5e-04,2e-04,0,0.0599,0.0904,0.0208,2.65,0.38,3.03,1.067,0.3544
119,2017-08-17,25.2,22.1,620,29.8,1623,0.2,5.6,2,110,"Suwon",14.8,0.067,0.78,0.07,0.027,0.145,0,0.046,0.114,0,0.903,1.657,0.0138,0.0014,0.0013,0.0225,0.0086,0.2348,0.0026,3e-04,0,0.0877,0.1168,0.031,3.65,0.3,3.95,3.809,0.5208
119,2017-08-18,25.8,22.6,150,30.9,1512,NA,5.6,1.2,270,"Suwon",25.3,0.122,2.414,0.082,0.028,0.188,0,0.013,0.071,0,1.055,5.858,0.0144,6e-04,0.0075,0.0298,0.0154,0.4605,0.0059,0.0013,0,0.1853,0.1592,0.0627,4.62,0.28,4.9,9.831,0.9426
119,2017-09-11,20.5,18.2,2347,25.1,1701,15.7,7,1.6,110,"Suwon",23.7,0.122,2.348,0.163,0.064,0.266,0,0.098,0.072,0,0.692,5.849,0.0165,9e-04,0.0025,0.022,0.0122,0.4004,0.0018,0.0042,0,0.165,0.2056,0.0545,5.59,0.22,5.81,9.674,0.8856
119,2017-09-12,21.1,16.7,2340,27.6,1158,NA,7.6,1.5,250,"Suwon",29,0.178,1.186,0.264,0.071,0.383,0,0.07,0.004,0,0.471,3.653,0.0234,6e-04,0.003,0.0286,0.0195,0.6756,0.002,0.0033,0,0.4413,0.4527,0.1585,5.83,0.89,6.71,6.28,1.8085
119,2017-09-13,20.4,13.9,525,27.5,1324,NA,6.8,1.5,250,"Suwon",25.5,0.233,0.476,0.199,0.086,0.504,0.007,0.174,0.054,0,0.897,1.652,0.0265,7e-04,0.0028,0.0314,0.0193,0.7707,0.0019,0.0032,0,0.5322,0.5349,0.161,5.13,0.91,6.04,4.282,2.0846
119,2017-09-14,21.5,13.7,614,28.8,1423,NA,5.4,1.1,110,"Suwon",29.3,0.117,0.595,0.229,0.07,0.565,0.009,0.024,0.077,0,1.07,1.753,0.0214,6e-04,0.0047,0.0273,0.0186,0.8908,0.002,0.0077,0,0.7248,0.6324,0.1694,5.81,0.94,6.74,4.509,2.4997
119,2017-09-15,22.2,17.8,618,27.7,1439,NA,10,3.3,110,"Suwon",20.3,0.306,0.707,0.116,0.086,0.386,0,0.092,0.144,0,0.863,2.091,0.0236,4e-04,0.0022,0.0076,0.0087,0.354,0.0011,0.014,0,0.3539,0.4146,0.1293,1.66,0.26,1.92,4.791,1.3094
119,2017-10-16,16.3,13.1,647,21.8,1459,NA,5.7,1.2,320,"Suwon",28.8,0.279,1.475,0.219,0.081,0.455,0.008,0.006,0.02,0,1.754,3.939,0.0382,6e-04,0.0102,0.02,0.0222,0.6388,0.0022,0.0101,0,0.5623,0.6248,0.164,4.47,0.4,4.87,8.236,2.0934
119,2017-10-17,14.8,7,631,22.9,1506,NA,4.5,0.9,140,"Suwon",44.5,0.248,2.704,0.332,0.103,0.742,0.009,0.087,0.007,0,4.99,5.274,0.0251,0.001,0.0045,0.0261,0.0233,0.8456,0.0021,0.0138,0,0.7536,0.7723,0.1932,6.7,0.8,7.5,14.496,2.6606
119,2017-10-18,15.9,13.5,1,18.1,1147,0,7,2.5,110,"Suwon",26,0.681,1.22,0.283,0.128,0.491,0,0.435,0.018,0,1.649,3.79,0.0111,4e-04,0.0032,0.0112,0.0108,0.3792,0.0012,0.0072,0,0.325,0.4418,0.1584,4.49,0.36,4.84,8.695,1.3495
119,2017-10-19,15.9,11.5,627,21.9,1430,NA,4.8,1.3,70,"Suwon",18.6,0.402,0.554,0.191,0.066,0.25,0,0.068,0.071,0,0.959,1.939,0.0056,3e-04,0.002,0.0124,0.0067,0.3368,9e-04,0.0015,0,0.243,0.3182,0.1157,4.08,0.32,4.4,4.5,1.0431
