"site_No.","date","avg_temp","low_temp","low_temp_hhmm","high_temp","high_temp_hhmm","precipitation","max_wind_speed","avg_wind_speed","degree_of_max_wind_speed","site","PM","Na_ion","NH4_ion","K_ion","Mg_ion","Ca_ion","F_ion","Cl_ion","NO2_ion","Br_ion","NO3_ion","SO4_ion","Pb","Cd","Cr","Cu","Mn","Fe","Ni","As","Be","Al","Ca_M","Mg_M","OC","EC","TC","ion_sum","metal_sum"
532,2015-06-08,20.7,15.5,418,25.9,1634,0,7,0.8,348.8,"Uijeongbu",52.6,0.303,3.019,0.181,0.088,0.607,0,0.029,0,0.052,0.402,10.653,0.0147,7e-04,0.0038,0.026,0.0285,0.8088,0.0047,0.0014,0,0.4583,0.5705,0.1758,4.05,0.67,4.73,15.334,2.0932
532,2015-06-09,21.3,15.9,236,29,1450,0,8.2,1.3,317.8,"Uijeongbu",54.2,0.39,4.641,0.258,0.11,0.634,0,0.029,0,0.067,1.851,15.03,0.0203,7e-04,0.0056,0.0264,0.0295,0.7072,0.0046,0.0016,0,0.5523,0.4693,0.1849,6.64,0.54,7.18,23.01,2.0024
532,2015-06-10,24,15,510,33.4,1612,0,6.5,1.1,140.6,"Uijeongbu",53.2,0.204,4.158,0.332,0.106,0.795,0,0.031,0,0.063,2.178,13.01,0.0208,0,0.0041,0.0283,0.0296,0.901,0.0033,0.0016,0,0.804,0.5829,0.2136,6.4,0.86,7.25,20.877,2.5892
532,2015-06-11,23.5,17.3,501,31.4,1238,6,8.9,1.4,180,"Uijeongbu",45.2,0.174,3.47,0.314,0.111,0.751,0,0.063,0,0.063,1.681,10.772,0.0142,7e-04,0.0035,0.0233,0.0194,0.6581,0.002,0.0023,0,0.6309,0.5008,0.1734,6.1,0.7,6.81,17.399,2.0286
532,2015-06-12,23.3,18.9,537,29.7,1519,1.5,7.5,1.3,227.8,"Uijeongbu",54.2,0.189,3.785,0.325,0.11,0.761,0,0.048,0,0.09,0.826,12.69,0.0232,6e-04,0.0048,0.022,0.0268,0.8679,0.0048,0.0022,0,0.8371,0.7505,0.2707,4.81,0.56,5.37,18.824,2.8106
532,2015-07-06,23.8,16.1,432,31.6,1456,0,5.4,0.8,270,"Uijeongbu",32.8,0.102,1.557,0.134,0.063,0.333,0,0.033,0,0.04,0.648,4.401,0.0237,0.001,0.0112,0.0346,0.0205,0.5912,0.01,0.0019,0,0.3616,0.3014,0.125,5.73,0.77,6.5,7.311,1.4821
532,2015-07-07,23.9,18.1,516,29.3,1503,0,6.3,1,126.6,"Uijeongbu",33.2,0.127,1.977,0.174,0.073,0.401,0,0.035,0,0.045,0.86,5.596,0.015,0.0011,0.0016,0.0235,0.0201,0.5644,0.0011,0.0018,0,0.3567,0.3281,0.1068,5.92,0.92,6.83,9.288,1.4202
532,2015-07-08,22.4,19.1,1028,24.9,1600,8,7.6,1.4,126.6,"Uijeongbu",11.3,0.033,0.265,0.064,0.025,0.117,0,0.03,0,0.026,0.303,0.808,0.0028,1e-04,0,0.0018,0.0039,0.1166,0,5e-04,0,0.0883,0.1023,0.0243,1.75,0.55,2.3,1.671,0.3406
532,2015-07-09,24.9,19.3,440,30.3,1412,0,5.7,1.1,101.3,"Uijeongbu",11.6,0.048,0.175,0.078,0.033,0.144,0,0.031,0,0.025,0.405,0.632,0.0025,1e-04,0,0.0019,0.004,0.1148,0,0.0015,0,0.0943,0.1288,0.0261,2.26,0.55,2.8,1.571,0.374
532,2015-07-10,26.5,20.3,521,32.1,1541,0,4.3,0.6,205.3,"Uijeongbu",26.7,0.053,0.518,0.096,0.042,0.19,0,0.027,0,0.03,0.413,1.426,0.0191,5e-04,0.0019,0.0166,0.013,0.4098,0,0.0015,0,0.2714,0.3087,0.0683,4.83,0.96,5.78,2.795,1.1108
532,2015-08-11,24.3,21,2310,30.3,1402,3,9.1,0.8,163.1,"Uijeongbu",30.9,0.265,2.725,0.178,0.052,0.277,0,0.083,0,0.096,1.36,7.974,0.0423,0.0012,0.0055,0.0377,0.0211,0.5704,0.0037,0.0047,0,0.2348,0.3995,0.1051,5.28,0.58,5.86,13.01,1.426
532,2015-08-12,25.3,19.8,536,31.2,1357,0,5.1,0.8,317.8,"Uijeongbu",55,0.172,6.717,0.33,0.054,0.372,0,0.112,0,0.137,1.976,20.34,0.0403,0.0015,0.0047,0.0276,0.0265,0.7334,0.0041,0.0057,0,0.3191,0.3911,0.1125,6.57,0.69,7.25,30.21,1.6665
532,2015-08-13,23.1,20.9,553,30.1,1308,19,10.3,0.9,202.5,"Uijeongbu",48.8,0.117,6.524,0.334,0.071,0.352,0,0.112,0,0.138,1.391,19.792,0.0397,0.001,0.0063,0.0295,0.0276,0.7465,0.0045,0.0043,0,0.3568,0.4157,0.1411,7.86,0.8,8.66,28.831,1.773
532,2015-08-14,25.2,19.8,318,31.2,1512,0,5.5,0.9,315,"Uijeongbu",47.1,0.1,2.515,0.264,0.057,0.337,0,0.121,0,0.096,1.045,7.327,0.035,0.001,0.0067,0.0276,0.0266,0.7842,0.0036,0.0058,0,0.5213,0.5078,0.1862,7.49,1.15,8.65,11.862,2.1058
532,2015-08-15,25.7,20.9,517,31.1,1307,0,6.2,0.9,331.9,"Uijeongbu",38.7,0.109,2.491,0.299,0.066,0.337,0,0.103,0,0.097,0.957,7.365,0.0286,9e-04,0.0074,0.025,0.0251,0.749,0.0058,0.0026,0,0.3385,0.4523,0.1823,6.96,1,7.96,11.824,1.8175
532,2015-09-07,20,13.7,614,27.9,1558,0,6.7,0.8,47.8,"Uijeongbu",25.8,0.13,0.188,0.102,0.029,0.152,0,0.071,0,0.074,0.289,0.948,0.02328,0.00058,0.00276,0.01163,0.03584,0.5816,0.00852,0.00405,0,0.27662,0.45381,0.19465,3.89,1.22,5.1,1.983,1.59334
532,2015-09-08,20.6,13.5,455,28.6,1418,0,5.8,1.1,115.3,"Uijeongbu",19,0.093,0.28,0.143,0.024,0.226,0,0.075,0,0.074,0.441,1.173,0.0119,4e-04,0.00566,0.01443,0.03783,0.64063,0.01086,0.00273,0,0.44011,0.62679,0.30337,4.04,1.45,5.48,2.529,2.09471
532,2015-09-09,20.1,11.9,558,28.4,1436,0,8.2,1.2,70.3,"Uijeongbu",13.4,0.42,0.246,0.157,0.053,0.229,0,0.081,0,0.075,0.94,1.362,0.00229,8e-05,0.00042,0.00898,0.00536,0.25483,0.00041,3e-04,0,0.1719,0.20778,0.08772,3.76,0.95,4.71,3.563,0.74007
532,2015-09-10,20.6,13.8,547,27.3,1543,0,6.5,1,331.9,"Uijeongbu",26.9,0.936,0.21,0.249,0.121,0.32,0,0.074,0,0.075,1.162,2.594,0.02005,0.00069,0.00551,0.03856,0.02308,0.86417,0.00343,0.00327,0,0.44589,0.59796,0.29643,4.67,1.41,6.09,5.741,2.29904
532,2015-09-11,19.9,15.7,2225,24.5,933,0.5,5.1,1.1,303.8,"Uijeongbu",40.5,0.223,1.544,0.261,0.094,0.357,0,0.068,0,0.085,0.518,5.511,0.04217,0.00118,0.01032,0.03702,0.03938,0.99318,0.007,0.00599,0,0.44252,0.58718,0.2768,5.23,1.45,6.68,8.661,2.44274
532,2015-10-05,15,7.7,626,24.9,1349,0,5.6,0.5,351.6,"Uijeongbu",26.7,0.139,0.541,0.279,0.426,0.102,0,0.121,0,0.051,1.048,2.079,0.0305,6e-04,0.0033,0.0385,0.0235,0.8436,0.0018,0.0024,0,0.5026,0.5468,0.5303,5.62,1.69,7.31,4.786,2.5239
532,2015-10-06,16.3,8.6,637,25,1354,0,6.3,0.6,312.2,"Uijeongbu",30.4,0.22,1.183,0.38,0.533,0.091,0,0.118,0,0.058,2.316,3.282,0.036,7e-04,0.003,0.0461,0.0254,0.9499,0.0034,0.0022,0,0.5201,0.6618,0.6402,6.27,1.89,8.16,8.181,2.8888
532,2015-10-07,17.7,12.7,223,24.7,1330,0,4.5,0.6,323.4,"Uijeongbu",44.9,0.227,3.213,0.427,0.711,0.116,0,0.138,0,0.074,5.043,7.084,0.027,9e-04,0.0031,0.0479,0.028,1.077,0.0034,0.0034,0,0.6655,0.9151,0.9137,7.81,1.81,9.62,17.033,3.685
532,2015-10-08,18.6,12.5,548,25.2,1444,0,7.3,1.1,286.9,"Uijeongbu",49.6,0.345,2.449,0.567,0.867,0.146,0,0.142,0,0.079,3.102,7.213,0.0453,0.0012,0.007,0.0471,0.0383,1.1711,0.0044,0.0053,0,0.7627,0.9421,0.9277,8.44,1.7,10.14,14.91,3.9522
532,2015-10-09,15.3,10.1,2318,19.5,1416,0,8.9,1.8,343.1,"Uijeongbu",30.8,0.264,0.472,0.194,0.502,0.107,0,0.12,0,0.048,1.01,2.055,0.0224,6e-04,0.0017,0.0194,0.0246,0.9404,0.0014,0.0018,0,0.9318,0.9183,0.875,3.52,0.74,4.26,4.772,3.7374
532,2015-11-09,10.6,9.3,648,12.6,1302,5.5,4.9,0.8,343.1,"Uijeongbu",18.5,0.056,0.72,0.145,0.181,0.051,0,0.071,0,0.049,0.744,2.046,0.011,5e-04,0.0098,0.0383,0.0485,0.4521,0.0015,0.0014,0,0.2465,0.2546,0.0387,2.49,0.52,3,4.063,1.1029
532,2015-11-10,9,5.7,2218,13.4,1509,0,4.2,0.7,337.5,"Uijeongbu",68.4,0.077,3.473,0.383,0.497,0.063,0,0.434,0,0.073,5.478,6.139,0.0343,0.0014,0.0062,0.0407,0.024,0.884,0.0019,0.0071,0,0.6502,0.5486,0.0925,7.63,1.24,8.87,16.617,2.2909
532,2015-11-11,9.4,5,348,16.4,1511,0,3.5,0.3,73.1,"Uijeongbu",56.5,0.194,4.193,0.553,0.484,0.062,0,2.16,0,0.104,6.321,5.263,0.0184,8e-04,0.0047,0.0394,0.0217,1.055,0.0011,0.0029,0,0.6333,0.4976,0.1003,11.24,1.58,12.82,19.334,2.3752
532,2015-11-12,11.5,5.5,350,19.1,1415,0,6.2,0.8,123.8,"Uijeongbu",21,0.141,1.175,0.298,0.353,0.067,0,0.36,0,0.057,2.264,2.292,0.0087,4e-04,0.0021,0.0322,0.0129,0.7323,1e-04,7e-04,0,0.4493,0.4058,0.099,7.65,2,9.65,7.007,1.7435
532,2015-11-13,10.2,8.6,317,13.6,946,19.5,6.3,0.6,168.8,"Uijeongbu",10.1,0.138,0.747,0.242,0.506,0.063,0,0.518,0,0.054,1.814,1.7,0.0042,2e-04,0.0011,0.0044,0.0039,0.1507,0,5e-04,0,0.1321,0.1791,0.0476,4.89,1.95,6.83,5.782,0.5238
532,2015-12-08,1,-3.7,701,8.3,1437,0,3.2,0.1,337.5,"Uijeongbu",79.2,0.408,6.677,0.653,0.078,0.841,0,4.1,0,0.12,15.459,4.893,0.0701,0.0024,0.0171,0.0958,0.052,1.3119,0.0225,0.012,0,0.332,0.7113,0.1532,12.61,9.7,22.32,33.229,2.7803
532,2015-12-09,2.8,-4,546,11,1340,0,5.1,0.2,160.3,"Uijeongbu",78.7,0.575,10.54,0.799,0.079,1,0,8.222,0,0.171,21.798,7.126,0.0446,0.0018,0.0066,0.0667,0.0348,1.2371,0.0042,0.0072,0,0.4576,0.6756,0.1504,14,11.52,25.52,50.31,2.6866
532,2015-12-10,5.9,3.2,1,9.5,1131,0,4.7,0.3,326.3,"Uijeongbu",65.3,0.496,10.163,0.853,0.069,0.682,0,8.789,0,0.165,18.325,7.269,0.0452,0.0023,0.0099,0.0922,0.0745,1.0925,0.0044,0.0054,0,0.264,0.5469,0.109,13.18,7.8,20.98,46.811,2.2463
532,2015-12-11,5.1,0.3,2359,11.8,1331,0,6.9,1,90,"Uijeongbu",42.9,0.698,4.097,0.357,0.083,0.373,0,2.01,0,0.085,5.476,6.774,0.0285,0.0012,0.013,0.0313,0.0234,0.4592,0.0062,0.0125,0,0.2009,0.6024,0.1596,9.98,1.62,11.6,19.953,1.5382
532,2015-12-12,2.3,-3.3,648,9.7,1446,0,5.1,0.5,132.2,"Uijeongbu",37.6,1.088,2.878,0.47,0.142,0.671,0,2.671,0,0.088,3.122,6.155,0.0263,9e-04,0.0033,0.0453,0.017,0.7729,0.001,0.0024,0,0.3484,0.4673,0.2362,6.9,5.67,12.57,17.285,1.921
532,2016-01-11,-4.4,-8.9,710,0.5,1424,0,5.7,1.1,326.3,"Uijeongbu",42.2,0.269,2.941,0.391,0.094,0.575,0,1.408,0,0.078,5.713,3.472,0.0277,0.0014,0.0043,0.0191,0.0188,0.7519,0.0017,0.0109,0,0.5622,0.6469,0.2115,7.88,1.25,9.13,14.941,2.2564
532,2016-01-12,-5.8,-11.6,721,0.4,1408,0,5.6,0.9,337.5,"Uijeongbu",47.3,0.265,4.129,0.577,0.088,0.807,0,2.75,0.042,0.096,6.792,4.529,0.0308,0.0012,0.0039,0.0338,0.0216,0.9598,0.0018,0.0074,0,0.7256,0.8146,0.2074,7.81,3.83,11.64,20.075,2.8079
532,2016-01-13,-6,-12.2,712,-0.3,1404,0,7.8,1.1,270,"Uijeongbu",43.3,0.364,3.558,0.394,0.113,0.677,0,1.472,0.041,0.086,7.392,4.349,0.0265,0.001,0.0063,0.0347,0.0222,0.9394,0.0044,0.0048,0,0.5486,0.6769,0.3352,5,6.32,11.32,18.446,2.6
532,2016-01-14,-4.7,-12.1,742,0.1,1326,0,4.2,0.7,163.1,"Uijeongbu",46,0.724,3.595,0.411,0.141,0.755,0,2.257,0.041,0.093,7.782,4.165,0.0277,0.0014,0.0018,0.0201,0.0225,0.8297,0.0022,0.0051,0,0.4522,0.5985,0.3387,4.72,5.38,10.1,19.964,2.2999
532,2016-01-15,-3.1,-8.4,635,3.9,1400,0,3.4,0.4,331.9,"Uijeongbu",53.5,1.041,7.123,0.847,0.21,1.542,0,5.252,0.053,0.136,15.096,8.106,0.0382,0.0012,0.0045,0.0279,0.017,0.6618,0.0026,0.005,0,0.2484,0.441,0.133,8.29,9.18,17.47,39.406,1.5806
532,2016-02-08,0.8,-7.9,402,6.3,1510,0,12.3,1.6,191.3,"Uijeongbu",81.3,1.021,6.751,1.322,0.309,1.088,0,2.946,0,0.172,13.933,9.23,0.0535,0.0011,0.0053,0.0268,0.0276,0.9362,0.0034,0.0053,0,1.0007,1.1996,0.563,7.38,5.73,13.11,36.772,3.8225
532,2016-02-09,0,-4.5,628,6.4,1504,0,9.2,1.5,329.1,"Uijeongbu",44.2,0.485,2.691,1.867,0.293,0.653,0,1.447,0,0.127,5.681,5.595,0.0368,8e-04,0.0041,0.0237,0.0195,0.6455,0.0018,0.01,0,0.9084,0.652,0.4557,5.13,2.02,7.15,18.839,2.7583
532,2016-02-10,0.2,-7.7,753,9.8,1524,0,5,0.5,188.4,"Uijeongbu",42.9,0.443,3.574,0.571,0.139,0.494,0,2.204,0,0.136,6.688,3.713,0.03,8e-04,0.0025,0.0242,0.0117,0.5417,0.0016,0.0066,0,0.4335,0.4293,0.1879,5.73,3.77,9.5,17.962,1.6698
