"m","site_No.","date","avg_temp","low_temp","low_temp_hhmm","high_temp","high_temp_hhmm","precipitation","max_wind_speed","avg_wind_speed","degree_of_max_wind_speed","site","PM","Na_ion","NH4_ion","K_ion","Mg_ion","Ca_ion","F_ion","Cl_ion","NO2_ion","Br_ion","NO3_ion","SO4_ion","Pb","Cd","Cr","Cu","Mn","Fe","Ni","As","Be","Al","Ca_M","Mg_M","OC","EC","TC","ion_sum","metal_sum","y","d"
"01",458.25,2016-07-13,-2.5675,-7.56,1072.325,2.2925,1395.825,NA,7.5025,1.6875,268.48,NA,53.0675,0.539875,3.80945,0.393075,0.138125,0.615925,0.045975,2.366675,0.04795,0.118825,8.60665,5.164375,0.0394525,0.0016075,0.0059775,0.03393,0.03933,0.9152675,0.004705,0.00866,0,0.6245025,0.786055,0.2840975,7.0685,2.4185,9.48575,21.8469,2.743585,NA,NA
"02",456.025641025641,2016-08-05,0.612820512820513,-4.50512820512821,780.820512820513,5.64615384615385,1472.48717948718,NA,8.25384615384615,2.10769230769231,237.784615384615,NA,54.7,0.514230769230769,3.91805128205128,0.767435897435897,0.165153846153846,0.645435897435897,0.0512564102564103,2.54920512820513,0.0352307692307692,0.157871794871795,8.01635897435897,5.10546153846154,0.0374897435897436,0.00125128205128205,0.00596666666666667,0.0296128205128205,0.0366102564102564,0.807335897435897,0.00474871794871795,0.00657435897435897,0,0.754697435897436,0.796407692307692,0.296335897435897,7.71384615384615,2.13,9.84410256410257,21.9256923076923,2.77703076923077,NA,NA
"03",458.25,2016-09-07,1.855,-2.875,871.825,6.8775,1266.475,NA,9.2375,2.4325,285.4625,NA,54.8225,0.534875,2.871775,0.283875,0.17975,0.79935,0.04035,2.083975,0,0.0898,4.976575,3.942025,0.03892,0.0017675,0.0062575,0.03292,0.041615,1.2034675,0.0054225,0.006455,7.5e-06,1.1192825,1.3238675,0.5053825,6.2045,1.46175,7.6665,15.80235,4.285365,NA,NA
"04",458.25,2016-10-08,12.3625,6.165,806.375,19.845,1370.65,NA,9.1925,2.125,252.36,NA,61.3925,0.5576,3.601575,0.282125,0.135575,0.741575,0.03305,1.359225,0.003775,0.0291,9.242825,4.8426,0.0321,0.00109,0.00785,0.081115,0.0443425,1.357125,0.009055,0.005575,0,1.17212,1.23519,0.4182625,6.4105,1.47325,7.8835,20.829025,4.363825,NA,NA
"05",458.25,2016-11-09,16.78,11.88,950,22.715,1250.05,NA,7.54,1.6675,218.2125,NA,73.655,0.4063,4.240575,0.317025,0.223075,1.2087,0.050275,0.80635,0,0.0794,9.707975,6.7248,0.0330625,0.0011225,0.0075375,0.0429425,0.053725,1.581495,0.0098275,0.006745,2e-05,1.5979725,1.35112,0.6912825,7.728,1.00225,8.73025,23.764475,5.3768525,NA,NA
"06",458.25,2016-06-10,21.7733333333333,16.49,677.983333333333,28.3916666666667,1413.1,NA,7.31,1.62166666666667,262.843333333333,NA,51.1233333333333,0.542,4.69476666666667,0.24355,0.149833333333333,0.611116666666667,0.0149666666666667,0.4574,0,0.0837166666666667,5.812,10.7738333333333,0.036305,0.00151666666666667,0.00406333333333333,0.05879,0.0235983333333333,0.733625,0.007875,0.00381666666666667,0,0.573878333333333,0.678745,0.222176666666667,5.0195,0.786666666666667,5.80683333333333,23.3831833333333,2.34439,NA,NA
"07",458.25,2016-07-10,25.2483333333333,21.1833333333333,686.283333333333,30.2316666666667,1400.91666666667,NA,6.73166666666667,1.52333333333333,212.888333333333,NA,37.9983333333333,0.225766666666667,3.07193333333333,0.14535,0.0693,0.365383333333333,4e-04,0.270766666666667,0.0267,0.0384,2.45191666666667,7.46865,0.0279,0.00190666666666667,0.00526166666666667,0.036145,0.02675,0.536483333333333,0.00572666666666667,0.002195,0,0.296035,0.452675,0.105213333333333,5.241,0.840666666666667,6.08183333333333,14.1345666666667,1.49629166666667,NA,NA
"08",450.363636363636,2016-09-14,26.0163636363636,22.4327272727273,653.654545454545,30.98,1343.03636363636,NA,6.18727272727273,1.47090909090909,224.254545454545,NA,33.4036363636364,0.198254545454545,2.97294545454545,0.156690909090909,0.0728,0.387509090909091,2e-04,0.2072,0.0195272727272727,0.0638545454545455,1.61385454545455,8.41214545454545,0.0275145454545455,0.000874545454545455,0.00474727272727273,0.0293163636363636,0.0231709090909091,0.514250909090909,0.00608363636363636,0.00339272727272727,0,0.271152727272727,0.384061818181818,0.1096,5.65709090909091,0.608,6.26490909090909,14.1049818181818,1.37416545454545,NA,NA
"09",458.25,2016-09-09,21.51,16.1783333333333,957.533333333333,27.76,1384.96666666667,NA,6.39833333333333,1.38666666666667,210.42,NA,38.875,0.329216666666667,3.0263,0.239116666666667,0.0799166666666667,0.6037,0.0021,0.382983333333333,0.00593333333333333,0.069,3.24495,7.01223333333333,0.0311861666666667,0.00132233333333333,0.0063135,0.0382223333333333,0.03626,0.737394666666667,0.0061305,0.0041855,0,0.426584,0.632145,0.1607775,5.83516666666667,1.50166666666667,7.3365,14.99545,2.0805215,NA,NA
"10",458.25,2016-10-12,14.98,8.93833333333333,861.516666666667,22.34,1368.58333333333,NA,5.46666666666667,1.08666666666667,241.745,NA,51.52,0.3237,2.6848,0.3453,0.341833333333333,0.5426,0.00558333333333333,0.74665,0.0199833333333333,0.0393333333333333,5.9834,4.35793333333333,0.0355033333333333,0.002705,0.00951666666666667,0.0543766666666667,0.0460833333333333,1.01086,0.00657833333333333,0.00597666666666667,0,0.695076666666667,0.865375,0.427676666666667,8.75583333333333,1.757,10.513,15.3911166666667,3.15972833333333,NA,NA
