"m","site_No.","date","avg_temp","low_temp","low_temp_hhmm","high_temp","high_temp_hhmm","precipitation","max_wind_speed","avg_wind_speed","degree_of_max_wind_speed","site","PM","Na_ion","NH4_ion","K_ion","Mg_ion","Ca_ion","F_ion","Cl_ion","NO2_ion","Br_ion","NO3_ion","SO4_ion","Pb","Cd","Cr","Cu","Mn","Fe","Ni","As","Be","Al","Ca_M","Mg_M","OC","EC","TC","ion_sum","metal_sum","y","d"
"01",545,2016-07-13,-2.49,-8.36,983.8,2.5,1403.2,0.2,8.06,1.59,244.86,NA,62.54,0.5663,4.0365,0.3755,0.146,0.6523,0.0446,2.9463,0.0344,0.1175,9.3455,5.1042,0.04723,0.00228,0.01014,0.06175,0.05337,1.18975,0.00762,0.0087,0,0.81322,0.90433,0.32202,8.39,2.275,10.663,23.3691,3.42041,NA,NA
"02",545,2016-07-20,0.911111111111111,-5.23333333333333,673.444444444444,6.33333333333333,1452.11111111111,1.83333333333333,8.77777777777778,2.11111111111111,215.411111111111,NA,65.1666666666667,0.601333333333333,4.74744444444444,0.824888888888889,0.183222222222222,0.697888888888889,0.0491111111111111,4.53077777777778,0.0283333333333333,0.178777777777778,8.68522222222222,5.04633333333333,0.0555111111111111,0.00185555555555556,0.00934444444444445,0.0650777777777778,0.0371333333333333,0.929544444444444,0.00824444444444444,0.00682222222222222,0,0.858411111111111,0.919844444444444,0.327277777777778,9.04333333333333,2.54444444444444,11.5888888888889,25.5733333333333,3.21906666666667,NA,NA
"03",545,2016-09-07,1.9,-2.94,775.3,6.79,1281.3,0,10.69,2.43,278.27,NA,67.08,0.6603,4.1982,0.2961,0.2459,1.005,0.047,4.7091,0,0.1704,5.8264,4.2126,0.07502,0.00375,0.0118,0.07228,0.0579,1.50653,0.00797,0.0066,1e-05,1.29872,1.40374,0.53938,7.209,2.024,9.232,21.371,4.9837,NA,NA
"04",545,2016-10-08,11.59,4.94,851.4,19.13,1341.2,1.15,9.62,2.09,254.64,NA,69.38,0.6576,4.8248,0.2965,0.1481,0.6995,0.0383,3.2152,0,0.0418,10.7144,5.1427,0.05225,0.00144,0.01403,0.17808,0.05522,1.43486,0.01198,0.00562,0,1.14107,1.13421,0.39712,6.864,1.635,8.497,25.7789,4.42588,NA,NA
"05",545,2016-11-09,16.25,11.01,943.6,22.07,1224.2,1.95,8.17,1.56,227.04,NA,79.97,0.4919,5.2484,0.3444,0.2181,1.3,0.0594,1.997,0,0.1153,11.751,6.9969,0.05187,0.00141,0.01159,0.09595,0.06468,1.72774,0.01225,0.00729,2e-05,1.51639,1.37122,0.69178,9.024,1.24,10.264,28.5224,5.55219,NA,NA
"06",545,2016-06-10,21.0066666666667,15.2733333333333,752.666666666667,27.44,1331.06666666667,0.0666666666666667,7.91333333333333,1.50666666666667,261.7,NA,58.38,0.727666666666667,5.56913333333333,0.216866666666667,0.178733333333333,0.603866666666667,0.0208666666666667,1.27833333333333,0,0.1086,7.52133333333333,11.2474,0.0831533333333333,0.00364,0.00797333333333333,0.158853333333333,0.0316866666666667,0.787966666666667,0.0100933333333333,0.00408,0,0.562773333333333,0.615833333333333,0.22598,5.46866666666667,0.86,6.33,27.4728,2.49203333333333,NA,NA
"07",545,2016-07-10,24.72,20.3533333333333,791.533333333333,29.7266666666667,1352.73333333333,5.96666666666667,6.96,1.32,230.926666666667,NA,47.04,0.322733333333333,3.38033333333333,0.155866666666667,0.079,0.437533333333333,0.00153333333333333,0.6936,0.0258666666666667,0.0548666666666667,3.6006,7.74566666666667,0.0649333333333333,0.00526666666666667,0.01054,0.08614,0.03798,0.674773333333333,0.00768666666666667,0.00260666666666667,0,0.33954,0.700666666666667,0.120806666666667,6.564,0.858666666666667,7.42333333333333,16.4976,2.05094,NA,NA
"08",545,2017-02-11,25.7,22.33,536.1,30,1238.7,6.11,6.52,1.52,221.68,NA,36.75,0.2643,2.8033,0.1308,0.0671,0.4082,1e-04,0.7129,0.0208,0.0548,2.0886,6.7684,0.05507,0.00148,0.00615,0.06954,0.02747,0.54223,0.00593,0.00306,0,0.27519,0.30352,0.09248,7.219,0.686,7.903,13.3193,1.38212,NA,NA
"09",545,2016-09-09,20.8933333333333,14.8466666666667,1126.4,27.24,1358.86666666667,1.63333333333333,6.8,1.04666666666667,204.56,NA,50.9933333333333,0.450466666666667,3.46053333333333,0.279,0.1018,1.06133333333333,0.00393333333333333,0.985666666666667,0.000333333333333333,0.0787333333333333,4.7814,7.6204,0.0516733333333333,0.00235466666666667,0.0129793333333333,0.0760593333333333,0.0551753333333333,1.00688,0.00920933333333333,0.004534,0,0.600274666666667,1.094024,0.203774,8.10866666666667,1.60466666666667,9.71266666666667,18.8236,3.116938,NA,NA
"10",545,2016-10-12,14.1933333333333,7.62,983.733333333333,21.98,1334.4,0,6.00666666666667,0.906666666666667,253.466666666667,NA,69.1266666666667,0.417333333333333,3.11406666666667,0.3364,0.517133333333333,0.623066666666667,0.0108666666666667,1.50833333333333,0.0389333333333333,0.0512,7.61366666666667,4.2222,0.0539466666666667,0.00626,0.0202933333333333,0.1201,0.0625066666666667,1.29240666666667,0.0109066666666667,0.00603333333333333,0,0.807073333333333,1.05308666666667,0.583706666666667,13.5333333333333,1.96,15.494,18.4532,4.01632,NA,NA
