"m","site_No.","date","avg_temp","low_temp","low_temp_hhmm","high_temp","high_temp_hhmm","precipitation","max_wind_speed","avg_wind_speed","degree_of_max_wind_speed","site","PM","Na_ion","NH4_ion","K_ion","Mg_ion","Ca_ion","F_ion","Cl_ion","NO2_ion","Br_ion","NO3_ion","SO4_ion","Pb","Cd","Cr","Cu","Mn","Fe","Ni","As","Be","Al","Ca_M","Mg_M","OC","EC","TC","ion_sum","metal_sum","y","d"
"01",637,2016-07-13,-1.57,-5.96,1170.3,2.58,1415.7,0.15,7.28,2.06,251.43,NA,53.46,0.617,4.2296,0.3663,0.171,0.6146,0.0439,2.9985,0.0435,0.1307,9.1143,5.7463,0.04084,0.00114,0.00458,0.02084,0.05733,0.98967,0.00566,0.00628,0,0.58322,0.80866,0.34011,6.844,1.322,8.165,24.0757,2.85833,NA,NA
"02",637,2016-08-10,0.93,-3.4,1056.2,5.55,1426.5,1.25,8.19,2.69,232.6,NA,56.07,0.6025,3.9448,0.794,0.1931,0.7374,0.0514,2.5891,0.0262,0.1644,8.2159,5.4928,0.03004,0.00091,0.00498,0.01834,0.06471,0.97195,0.00626,0.00612,0,0.86583,0.89489,0.35573,7.686,1.53,9.219,22.8116,3.21976,NA,NA
"03",637,2016-09-07,2.01,-2.21,1215.5,6.46,1103.3,0,8.48,2.77,256.22,NA,54.47,0.7085,2.6662,0.3119,0.1907,0.8659,0.0434,1.8108,0,0.0674,4.8649,4.3581,0.02579,0.00104,0.00466,0.02034,0.04328,1.21555,0.0081,0.00621,1e-05,1.13692,1.32067,0.52482,5.942,1.253,7.195,15.8878,4.30739,NA,NA
"04",637,2016-10-08,12.46,6.73,796,19.97,1375,1.8,8.55,2.83,253.98,NA,66.75,0.663,3.4184,0.2957,0.1889,0.9861,0.0378,1.186,0,0.0267,9.2739,5.2742,0.02552,0.00101,0.00618,0.11192,0.05428,1.63689,0.01451,0.00481,0,1.29184,1.53907,0.53295,6.843,1.795,8.638,21.3507,5.21898,NA,NA
"05",637,2016-11-09,16.97,12.47,845.9,22.94,1250.8,2.4,7.57,2.16,212.91,NA,83.74,0.4865,4.077,0.3077,0.2319,1.3487,0.0555,0.5908,0,0.0734,9.566,6.9863,0.02742,0.00094,0.0076,0.02895,0.06103,1.62722,0.01436,0.00601,2e-05,1.46437,1.46031,0.73388,8.056,1.044,9.1,23.7238,5.43211,NA,NA
"06",637,2016-06-10,21.8533333333333,17.0133333333333,658.2,28.58,1416.33333333333,0.233333333333333,6.65333333333333,1.86666666666667,275.64,NA,57.7933333333333,0.595666666666667,5.6162,0.2672,0.154266666666667,0.808066666666667,0.0215333333333333,0.321733333333333,0,0.0844,8.59966666666667,12.4350666666667,0.0185466666666667,0.000673333333333333,0.00230666666666667,0.0330333333333333,0.02842,0.80694,0.0117866666666667,0.00358,0,0.60638,0.997953333333333,0.264633333333333,4.67866666666667,0.853333333333333,5.53266666666667,28.9038,2.77425333333333,NA,NA
"07",637,2016-07-10,25.0933333333333,21.4066666666667,642.533333333333,30.2066666666667,1370.93333333333,4,6.09333333333333,2.02,200.64,NA,40.5866666666667,0.2994,3.39686666666667,0.148933333333333,0.0869333333333333,0.4298,6.66666666666667e-05,0.278133333333333,0.0358666666666667,0.0394,3.44226666666667,7.85446666666667,0.0125933333333333,0.00052,0.00467333333333333,0.0236266666666667,0.0376,0.5923,0.01064,0.0019,0,0.307986666666667,0.43054,0.129593333333333,4.83533333333333,0.73,5.566,16.0121333333333,1.55197333333333,NA,NA
"08",637,2016-08-12,26.1066666666667,22.4066666666667,657.333333333333,31.4333333333333,1455.33333333333,5.73333333333333,5.60666666666667,1.79333333333333,243.566666666667,NA,38.6333333333333,0.259866666666667,3.70106666666667,0.178733333333333,0.101933333333333,0.5686,0.000266666666666667,0.171933333333333,0.029,0.0693333333333333,2.85933333333333,10.4369333333333,0.0219133333333333,0.00066,0.00422,0.01938,0.0337933333333333,0.645926666666667,0.01212,0.00333333333333333,0,0.315866666666667,0.51548,0.14916,5.03066666666667,0.607333333333333,5.63733333333333,18.377,1.72185333333333,NA,NA
"09",637,2016-09-09,21.82,16.8533333333333,739.2,28.2533333333333,1385.33333333333,3.8,6.10666666666667,1.92,206.26,NA,40.4533333333333,0.367733333333333,3.4064,0.2248,0.0852,0.5598,0.00246666666666667,0.376,0,0.0726666666666667,4.40153333333333,7.05373333333333,0.02428,0.00081,0.00390333333333333,0.0322946666666667,0.046066,0.733573333333333,0.00732333333333333,0.00363533333333333,0,0.372226,0.458842,0.147610666666667,5.27466666666667,1.24666666666667,6.52133333333333,16.5503333333333,1.83056466666667,NA,NA
"10",637,2016-10-12,15.3533333333333,9.26666666666667,1034.46666666667,22.8066666666667,1349.86666666667,0.166666666666667,4.88,1.55333333333333,224.813333333333,NA,58.24,0.385933333333333,3.52986666666667,0.3726,0.339,0.6004,0.00773333333333333,1.13246666666667,0.00993333333333333,0.045,9.0048,4.1916,0.03226,0.00167333333333333,0.01018,0.0333266666666667,0.0740933333333333,1.10390666666667,0.00999333333333333,0.00542,0,0.78358,0.897186666666667,0.436233333333333,8.17666666666667,1.78866666666667,9.96533333333333,19.6193333333333,3.38785333333333,NA,NA
"11",637,2016-11-11,7.97142857142857,3.50714285714286,1289.14285714286,12.7142857142857,1234.28571428571,2.78571428571429,6.92857142857143,2.07857142857143,219.771428571429,NA,52.9928571428571,0.415714285714286,4.01071428571429,0.576071428571429,0.225,0.419285714285714,0.0212857142857143,1.84164285714286,0.00335714285714286,0.0369285714285714,8.1115,4.49121428571429,0.0256,0.00118571428571429,0.0069,0.0238071428571429,0.0688285714285714,0.945042857142857,0.00563571428571429,0.0034,0,0.562892857142857,0.622635714285714,0.224892857142857,9.89,1.04,10.9321428571429,20.1527142857143,2.49082142857143,NA,NA
"12",637,2016-12-12,0.06,-4.56,910.066666666667,4.79333333333333,1313.73333333333,0.3,6.8,1.78,194.253333333333,NA,60.2533333333333,0.475333333333333,4.87986666666667,0.4142,0.108533333333333,0.706266666666667,0.0494666666666667,3.79046666666667,0.034,0.1012,9.1492,3.77893333333333,0.0333666666666667,0.00132,0.00964,0.0258266666666667,0.08114,1.12302666666667,0.00709333333333333,0.00509333333333333,0,0.71858,0.725746666666667,0.241086666666667,9.89933333333333,2.27,12.1706666666667,23.4874666666667,2.97192,NA,NA
