"m","site_No.","date","avg_temp","low_temp","low_temp_hhmm","high_temp","high_temp_hhmm","precipitation","max_wind_speed","avg_wind_speed","degree_of_max_wind_speed","site","PM","Na_ion","NH4_ion","K_ion","Mg_ion","Ca_ion","F_ion","Cl_ion","NO2_ion","Br_ion","NO3_ion","SO4_ion","Pb","Cd","Cr","Cu","Mn","Fe","Ni","As","Be","Al","Ca_M","Mg_M","OC","EC","TC","ion_sum","metal_sum","y","d"
"03",119,2017-03-08,1.76,-3.3,586.2,7.36,1343.6,NA,9.56,2.82,290,NA,40.46,0.4994,3.1628,0.349,0.1288,0.3674,0.063,1.2736,0,0,6.1022,4.0226,0.02932,0.00088,0.00378,0.01766,0.02362,0.62382,0.0028,0.00442,0,0.57888,0.70474,0.28628,5.828,0.928,6.758,15.9688,2.2762,NA,NA
"04",119,2017-04-12,13.28,7.94,862.6,19.34,1309.6,NA,10.42,2.84,230,NA,53.14,0.7904,2.704,0.3572,0.1208,0.7724,0.0602,0.7004,0.0302,0,8.0268,3.7398,0.02046,0.00074,0.00476,0.01674,0.03846,1.3824,0.00442,0.00476,0,1.39432,1.30188,0.42872,6.026,0.95,6.976,17.3022,4.59766,NA,NA
"05",119,2017-05-10,17.24,12.64,1153.6,22.76,1341.8,NA,7.14,1.68,196,NA,96.1,0.4982,5.9652,0.4218,0.2606,1.667,0.088,0.416,0,0,14.7396,8.9404,0.02796,0.00108,0.00648,0.02322,0.06386,2.05674,0.00928,0.00682,4e-05,2.4902,1.92838,1.10484,7.764,0.8,8.562,32.9968,7.7189,NA,NA
"06",119,2017-06-14,21.8,17.12,483.4,28.2,1428.8,NA,7.5,2.22,230,NA,40.1,0.9578,3.97,0.3232,0.1278,0.351,0.0258,0.2154,0,0,5.6276,8.5868,0.01954,0.00072,0.0084,0.017,0.01982,0.62102,0.0107,0.0037,0,0.50274,0.502,0.25192,3.73,0.644,4.372,20.1854,1.95756,NA,NA
"07",119,2017-07-12,26.48,22.9,685,31.24,1469.4,NA,7.22,1.74,258,NA,43.98,0.2414,5.5522,0.1756,0.0588,0.2954,0,0.119,0.0706,0,3.034,13.1434,0.02414,0.00182,0.00408,0.02292,0.02396,0.55228,0.00338,0.00262,0,0.31014,0.60078,0.11954,4.86,0.562,5.422,22.6904,1.66566,NA,NA
"08",119,2017-08-16,24.2,21.94,768.2,27.6,1107.2,NA,6.92,2.28,142,NA,13.14,0.0838,0.7224,0.0662,0.0226,0.1386,0,0.0192,0.0838,0,0.5254,1.884,0.0064,0.00046,0.00222,0.01428,0.00692,0.22306,0.0018,0.00078,0,0.09814,0.12624,0.03608,3.052,0.32,3.372,3.546,0.51638,NA,NA
"09",119,2017-09-13,21.14,16.06,1288.8,27.34,1409,NA,7.36,1.8,166,NA,25.56,0.1912,1.0624,0.1942,0.0754,0.4208,0.0032,0.0916,0.0702,0,0.7986,2.9996,0.02228,0.00064,0.00304,0.02338,0.01566,0.6183,0.00176,0.00648,0,0.44344,0.44804,0.13454,4.804,0.644,5.444,5.9072,1.71756,NA,NA
"10",119,2017-10-18,15.68,10.86,490.4,21.7,1411.6,NA,5.42,1.36,182,NA,29.26,0.377,1.4078,0.2606,0.0896,0.4918,0.0048,0.1422,0.0424,0,2.3144,3.5236,0.01838,0.00058,0.00502,0.0191,0.0164,0.57648,0.00174,0.00738,0,0.46622,0.54076,0.15298,5.274,0.376,5.648,8.6542,1.80504,NA,NA
"11",119,2017-11-15,4.92,-0.1,800,9.5,1492.6,NA,8.28,1.8,288,NA,43.06,0.4302,2.7146,0.345,0.1486,0.6826,0.0252,0.8002,0,0.008,7.423,2.6362,0.02634,0.0012,0.005,0.04096,0.0309,1.0102,0.00336,0.00354,0,0.80478,0.93446,0.31592,6.16,0.756,6.916,15.2136,3.17666,NA,NA
"12",119,2017-12-13,-5.84,-10.48,930,-1.08,1165.4,NA,7.2,1.94,282,NA,47.52,0.285,3.0376,0.3442,0.0886,0.6684,0.0506,1.3422,0.022,0.0134,6.9616,2.2092,0.02518,0.00092,0.00462,0.0336,0.02656,1.03458,0.00332,0.0043,0,0.85792,0.84906,0.2263,8.51,0.696,9.208,15.0228,3.06636,NA,NA
