"m","site_No.","date","avg_temp","low_temp","low_temp_hhmm","high_temp","high_temp_hhmm","precipitation","max_wind_speed","avg_wind_speed","degree_of_max_wind_speed","site","PM","Na_ion","NH4_ion","K_ion","Mg_ion","Ca_ion","F_ion","Cl_ion","NO2_ion","Br_ion","NO3_ion","SO4_ion","Pb","Cd","Cr","Cu","Mn","Fe","Ni","As","Be","Al","Ca_M","Mg_M","OC","EC","TC","ion_sum","metal_sum","y","d"
"01",119,2016-07-13,-2.14,-6.39,1115.2,2.72,1379.7,NA,7.32,1.79,275,NA,51.87,0.4676,3.2826,0.3605,0.1223,0.5753,0.0442,1.5424,0.0518,0.1085,8.0745,4.5399,0.03773,0.00164,0.00527,0.03421,0.02523,0.7823,0.00327,0.00949,0,0.61803,0.77511,0.23837,5.993,2.93,8.922,19.1696,2.53065,NA,NA
"02",119,2016-08-10,1.01,-3.55,762.2,5.78,1488,NA,8.4,2.25,232,NA,49.56,0.4391,3.3352,0.7019,0.1521,0.5695,0.0444,1.5463,0.0431,0.1419,7.4595,4.6643,0.03447,0.00122,0.00532,0.0218,0.0242,0.68664,0.00235,0.00645,0,0.68256,0.70414,0.24849,7.005,1.817,8.819,19.0973,2.41764,NA,NA
"03",119,2016-09-07,2.41,-2.12,762.8,7.43,1234.2,NA,9.16,2.62,287,NA,47.82,0.4479,2.4995,0.2758,0.1483,0.6976,0.0315,1.1238,0,0.0627,5.1278,3.7164,0.02828,0.00112,0.00414,0.01552,0.02973,0.98049,0.00284,0.00651,1e-05,1.0532,1.12636,0.46533,5.643,1.586,7.23,14.1313,3.71353,NA,NA
"04",119,2016-10-08,12.87,7.2,848.4,20.06,1355.4,NA,9.52,2.1,246,NA,57.08,0.482,3.0549,0.2632,0.1015,0.6494,0.0301,0.5234,0.0151,0.0243,8.1536,4.6223,0.02535,0.00101,0.00598,0.01626,0.03546,1.20373,0.00497,0.00511,0,1.16999,1.17598,0.38072,5.587,1.25,6.838,17.9198,4.02456,NA,NA
"05",119,2016-11-09,17.35,12.49,844.7,23.3,1241.1,NA,7.63,1.85,211,NA,65.26,0.3323,3.7622,0.2858,0.1939,1.0913,0.044,0.2791,0,0.0654,8.5335,6.4357,0.02613,0.001,0.00423,0.01929,0.0426,1.38491,0.00586,0.0073,2e-05,1.62436,1.23147,0.65384,6.728,0.891,7.618,21.0232,5.00101,NA,NA
"06",119,2016-06-10,22.36,17.6266666666667,733.533333333333,28.6,1433,NA,7.64666666666667,2.05333333333333,240.666666666667,NA,43.78,0.4722,4.07693333333333,0.237533333333333,0.116866666666667,0.458466666666667,0.0086,0.137266666666667,0,0.0734,3.94453333333333,10.1229333333333,0.0194933333333333,0.000806666666666667,0.00408,0.0158133333333333,0.01596,0.635586666666667,0.00544666666666667,0.00332666666666667,0,0.58144,0.550646666666667,0.206906666666667,4.66066666666667,0.784666666666667,5.44533333333333,19.6487333333333,2.03950666666667,NA,NA
"07",119,2016-07-10,25.8933333333333,22.1266666666667,612.333333333333,30.64,1467.26666666667,NA,7.28666666666667,1.99333333333333,214.666666666667,NA,32.42,0.156266666666667,3.0302,0.139466666666667,0.0644666666666667,0.3106,0,0.0736,0.025,0.0346,1.59746666666667,7.7552,0.0165466666666667,0.00108,0.00234,0.01434,0.0153666666666667,0.408833333333333,0.0019,0.00223333333333333,0,0.264273333333333,0.37754,0.0864133333333333,4.67333333333333,1.11333333333333,5.786,13.1868666666667,1.19086666666667,NA,NA
"08",119,2016-08-12,26.7333333333333,23.3533333333333,551.866666666667,31.5066666666667,1316.6,NA,6.67333333333333,1.83333333333333,206.666666666667,NA,28.5,0.157066666666667,2.94526666666667,0.142066666666667,0.0656666666666667,0.329066666666667,0,0.0522,0.0279333333333333,0.0670666666666667,0.908466666666667,8.79013333333333,0.0181,0.000866666666666667,0.00294,0.0145466666666667,0.0132533333333333,0.368246666666667,0.00263333333333333,0.00381333333333333,0,0.240693333333333,0.270246666666667,0.0811133333333333,5.79866666666667,0.568,6.368,13.4849333333333,1.01645333333333,NA,NA
"09",119,2016-09-09,22.4733333333333,17.6533333333333,1057.6,28.08,1371.53333333333,NA,6.78,1.71333333333333,202.666666666667,NA,30.9666666666667,0.276066666666667,2.96173333333333,0.218266666666667,0.0764666666666667,0.4368,0.00106666666666667,0.0918,0.0234,0.0645333333333333,2.587,7.21813333333333,0.023612,0.001056,0.00369333333333333,0.0198873333333333,0.020626,0.545184666666667,0.003128,0.00448333333333333,0,0.358266,0.505586,0.134674,4.53266666666667,1.90066666666667,6.43133333333333,13.9552666666667,1.62019666666667,NA,NA
"10",119,2016-10-12,16.04,10.54,649.266666666667,22.88,1397.4,NA,5.7,1.19333333333333,245.333333333333,NA,38.2866666666667,0.2532,1.90206666666667,0.275466666666667,0.2708,0.512133333333333,0.0016,0.1228,0.0155333333333333,0.0278,3.60946666666667,4.3532,0.0266266666666667,0.00154666666666667,0.00355333333333333,0.0245733333333333,0.0207866666666667,0.717913333333333,0.00266666666666667,0.006,0,0.57268,0.63422,0.32132,5.934,1.91533333333333,7.84933333333333,11.3440666666667,2.33188666666667,NA,NA
"11",119,2016-11-11,8.07333333333333,3.62666666666667,1171.93333333333,12.6666666666667,1368.46666666667,NA,7.51333333333333,1.82,250.666666666667,NA,41.5333333333333,0.284666666666667,2.7464,0.3934,0.182133333333333,0.565533333333333,0.0084,0.5012,0.0028,0.0232,6.42053333333333,3.75686666666667,0.0247066666666667,0.0012,0.00416666666666667,0.02966,0.0221066666666667,0.779206666666667,0.00228,0.00325333333333333,0,0.62486,0.852233333333333,0.203373333333333,7.58466666666667,1.276,8.862,14.8851333333333,2.54704666666667,NA,NA
"12",119,2016-12-12,-0.106666666666667,-4.58,724.4,4.89333333333333,1329.73333333333,NA,6.35333333333333,1.72,242,NA,61.9266666666667,0.395733333333333,3.69386666666667,0.365333333333333,0.0845333333333333,0.7454,0.0168666666666667,1.48153333333333,0.0146,0.0338,8.8672,3.59206666666667,0.0372466666666667,0.00204,0.00500666666666667,0.0361066666666667,0.0258,0.905913333333333,0.00354666666666667,0.00656666666666667,0,0.682566666666667,0.892693333333333,0.21122,9.10733333333333,2.944,12.05,19.2909333333333,2.80870666666667,NA,NA
