"m","site_No.","date","avg_temp","low_temp","low_temp_hhmm","high_temp","high_temp_hhmm","precipitation","max_wind_speed","avg_wind_speed","degree_of_max_wind_speed","site","PM","Na_ion","NH4_ion","K_ion","Mg_ion","Ca_ion","F_ion","Cl_ion","NO2_ion","Br_ion","NO3_ion","SO4_ion","Pb","Cd","Cr","Cu","Mn","Fe","Ni","As","Be","Al","Ca_M","Mg_M","OC","EC","TC","ion_sum","metal_sum","y","d"
"01",532,2016-07-13,-4.07,-9.53,1020,1.37,1384.7,0,7.35,1.31,302.63,NA,44.4,0.5086,3.6891,0.47,0.1132,0.6215,0.0512,1.9795,0.0621,0.1186,7.8923,5.2671,0.03201,0.00137,0.00392,0.01892,0.02139,0.69935,0.00227,0.01017,0,0.48354,0.65612,0.23589,7.047,3.147,10.193,20.7732,2.16495,NA,NA
"02",532,2016-08-10,-0.37,-5.91,620.7,4.99,1521.3,2.3,7.7,1.38,268.89,NA,49.05,0.4227,3.7277,0.7547,0.134,0.5822,0.0599,1.7288,0.0426,0.1485,7.7717,5.2125,0.03174,0.00108,0.00456,0.01678,0.02045,0.65343,0.00249,0.00693,0,0.62236,0.6791,0.25694,7.254,2.67,9.924,20.5853,2.29586,NA,NA
"03",532,2016-09-07,1.1,-4.23,733.7,6.83,1447.1,0,8.62,1.91,320.36,NA,49.92,0.3228,2.1232,0.2517,0.1341,0.6289,0.0395,0.6922,0,0.0587,4.0872,3.481,0.02659,0.00116,0.00443,0.02354,0.03555,1.1113,0.00278,0.0065,0,0.98829,1.4447,0.492,6.024,0.984,7.009,11.8193,4.13684,NA,NA
"04",532,2016-10-08,12.53,5.79,729.7,20.22,1411,1.7,9.08,1.48,254.82,NA,52.36,0.4278,3.1082,0.2731,0.1038,0.6313,0.026,0.5123,0,0.0236,8.8294,4.3312,0.02528,9e-04,0.00521,0.0182,0.03241,1.15302,0.00476,0.00676,0,1.08558,1.0915,0.36226,6.348,1.213,7.561,18.2667,3.78588,NA,NA
"05",532,2016-11-09,16.55,11.55,1165.8,22.55,1284.1,1.45,6.79,1.1,221.9,NA,65.65,0.3145,3.8747,0.3302,0.2484,1.0948,0.0422,0.3585,0,0.0635,8.9814,6.4803,0.02683,0.00114,0.00673,0.02758,0.04659,1.58611,0.00684,0.00638,2e-05,1.78677,1.34148,0.68563,7.104,0.834,7.939,21.7885,5.5221,NA,NA
"06",532,2016-06-10,21.8733333333333,16.0466666666667,567.533333333333,28.9466666666667,1472,0.666666666666667,7.02666666666667,1.06,273.366666666667,NA,44.54,0.372466666666667,3.5168,0.2526,0.149466666666667,0.574066666666667,0.00886666666666667,0.0922666666666667,0,0.0684666666666667,3.18246666666667,9.28993333333333,0.0240266666666667,0.000946666666666667,0.00189333333333333,0.02746,0.0183266666666667,0.704006666666667,0.00417333333333333,0.00428,0,0.54492,0.550546666666667,0.191186666666667,5.27,0.648666666666667,5.91933333333333,17.5074,2.07176666666667,NA,NA
"07",532,2016-07-10,25.2866666666667,20.8466666666667,698.733333333333,30.3533333333333,1412.73333333333,10.2333333333333,6.58666666666667,0.76,205.32,NA,31.9466666666667,0.124666666666667,2.48033333333333,0.137133333333333,0.0468,0.2836,0,0.0377333333333333,0.0200666666666667,0.0247333333333333,1.16733333333333,6.51926666666667,0.0175266666666667,0.00076,0.00349333333333333,0.0204733333333333,0.0160533333333333,0.470026666666667,0.00268,0.00204,0,0.27234,0.301953333333333,0.08404,4.89133333333333,0.660666666666667,5.552,10.8416666666667,1.19138666666667,NA,NA
"08",532,2016-08-12,25.42,21.6066666666667,830.133333333333,30.6533333333333,1326.73333333333,9.63333333333333,6.06,0.753333333333333,224.246666666667,NA,30.8466666666667,0.1338,2.3856,0.166533333333333,0.0546,0.251066666666667,4e-04,0.0603333333333333,8e-04,0.0612,0.757266666666667,7.1052,0.02416,0.000693333333333333,0.00614666666666667,0.0272066666666667,0.0196,0.509926666666667,0.0036,0.00325333333333333,0,0.254206666666667,0.420153333333333,0.10994,5.10066666666667,0.596666666666667,5.69733333333333,10.9768,1.37888666666667,NA,NA
"09",532,2016-09-09,20.8533333333333,15.36,906.933333333333,27.4666666666667,1424.13333333333,1.9,5.90666666666667,0.866666666666667,228.193333333333,NA,33.0866666666667,0.2226,2.27653333333333,0.2344,0.0562,0.356866666666667,0.000933333333333333,0.0784666666666667,0,0.0600666666666667,1.20986666666667,6.15666666666667,0.0251793333333333,0.00106866666666667,0.004678,0.024648,0.0231726666666667,0.663940666666667,0.00486133333333333,0.00408933333333333,0,0.375569333333333,0.470128,0.157051333333333,5.42466666666667,1.25466666666667,6.68066666666667,10.6526,1.75438666666667,NA,NA
"10",532,2016-10-12,14.3333333333333,8.32666666666667,778.6,21.6933333333333,1392.66666666667,0,5.28,0.693333333333333,243.366666666667,NA,40.4266666666667,0.238333333333333,2.1932,0.396733333333333,0.2404,0.4348,0.00213333333333333,0.223,0.0155333333333333,0.0333333333333333,3.70566666666667,4.66473333333333,0.02918,0.00134,0.00404,0.0395066666666667,0.0269466666666667,0.929213333333333,0.00274666666666667,0.00645333333333333,0,0.616973333333333,0.877006666666667,0.369446666666667,7.37933333333333,1.364,8.74333333333333,12.1478666666667,2.90285333333333,NA,NA
"11",532,2016-11-11,6.24666666666667,1.47333333333333,1075.46666666667,11.4466666666667,1335.73333333333,2.5,6.73333333333333,1.09333333333333,247.32,NA,43.1333333333333,0.240666666666667,3.01666666666667,0.4294,0.204333333333333,0.417866666666667,0.00853333333333333,1.0822,0,0.0323333333333333,5.77566666666667,4.02826666666667,0.0241333333333333,0.00112666666666667,0.00355333333333333,0.0252533333333333,0.0223933333333333,0.731133333333333,0.00206,0.00363333333333333,0,0.5651,0.648813333333333,0.173833333333333,8.09866666666667,1.28133333333333,9.37866666666667,15.2359333333333,2.20103333333333,NA,NA
"12",532,2016-12-12,-2.55333333333333,-7.63333333333333,885.666666666667,2.92,1323.86666666667,0,5.23333333333333,0.853333333333333,261.213333333333,NA,63.1133333333333,0.4502,5.58113333333333,0.5802,0.0770666666666667,0.6938,0.0205333333333333,4.1158,0.0120666666666667,0.0574666666666667,9.3462,5.16866666666667,0.0390333333333333,0.00160666666666667,0.00663333333333333,0.0373066666666667,0.02952,0.865386666666667,0.00489333333333333,0.0061,0,0.584506666666667,0.807306666666667,0.20036,12.4366666666667,3.31533333333333,15.754,26.1031333333333,2.58265333333333,NA,NA
