"m","site_No.","date","avg_temp","low_temp","low_temp_hhmm","high_temp","high_temp_hhmm","precipitation","max_wind_speed","avg_wind_speed","degree_of_max_wind_speed","site","PM","Na_ion","NH4_ion","K_ion","Mg_ion","Ca_ion","F_ion","Cl_ion","NO2_ion","Br_ion","NO3_ion","SO4_ion","Pb","Cd","Cr","Cu","Mn","Fe","Ni","As","Be","Al","Ca_M","Mg_M","OC","EC","TC","ion_sum","metal_sum","y","d"
"01",119,2016-07-13,-2.14,-6.39,1115.2,2.72,1379.7,NA,7.32,1.79,275,NA,51.87,0.4676,3.2826,0.3605,0.1223,0.5753,0.0442,1.5424,0.0518,0.1085,8.0745,4.5399,0.03773,0.00164,0.00527,0.03421,0.02523,0.7823,0.00327,0.00949,0,0.61803,0.77511,0.23837,5.993,2.93,8.922,19.1696,2.53065,NA,NA
"02",119,2016-08-10,1.01,-3.55,762.2,5.78,1488,NA,8.4,2.25,232,NA,49.56,0.4391,3.3352,0.7019,0.1521,0.5695,0.0444,1.5463,0.0431,0.1419,7.4595,4.6643,0.03447,0.00122,0.00532,0.0218,0.0242,0.68664,0.00235,0.00645,0,0.68256,0.70414,0.24849,7.005,1.817,8.819,19.0973,2.41764,NA,NA
"03",119,2016-03-09,3.06,-0.94,939.4,7.5,1124.8,NA,8.76,2.42,284,NA,55.18,0.3964,1.8362,0.2026,0.1678,1.0278,0,0.974,0,0.1254,4.1534,3.4102,0.02724,0.00136,0.0045,0.01338,0.03584,1.33716,0.00288,0.0086,2e-05,1.52752,1.54798,0.64438,5.458,2.244,7.702,12.2938,5.15086,NA,NA
"04",119,2016-04-06,12.46,6.46,834.2,20.78,1401.2,NA,8.62,1.36,262,NA,61.02,0.1736,3.4058,0.1692,0.0822,0.5264,0,0.3464,0,0.0486,8.2804,5.5048,0.03024,0.00128,0.0072,0.01578,0.03246,1.02506,0.00552,0.00546,0,0.94566,1.05008,0.33272,5.148,1.55,6.7,18.5374,3.45146,NA,NA
"05",119,2016-05-11,17.46,12.34,535.8,23.84,1140.4,NA,8.12,2.02,226,NA,34.42,0.1664,1.5592,0.1498,0.1272,0.5156,0,0.1422,0,0.1308,2.3274,3.931,0.0243,0.00092,0.00198,0.01536,0.02134,0.71308,0.00244,0.00778,0,0.75852,0.53456,0.20284,5.692,0.982,6.674,9.0496,2.28312,NA,NA
"06",119,2015-12-09,22.64,17.88,858.6,28.8,1435.1,NA,7.72,1.97,246,NA,45.62,0.2294,4.1304,0.1947,0.1114,0.5122,0,0.0982,0,0.1101,3.103,10.891,0.01947,0.00085,0.00192,0.01522,0.01403,0.64287,0.00282,0.00314,0,0.62079,0.57497,0.1844,5.126,0.855,5.982,19.3804,2.08048,NA,NA
"07",119,2016-01-09,25.6,21.74,576,30.34,1466.2,NA,7.32,2.12,193,NA,26.64,0.1137,1.7692,0.1214,0.0673,0.3182,0,0.0509,0.0022,0.0519,0.8792,5.0611,0.01275,0.00071,0.00147,0.01005,0.01107,0.33711,0.00116,0.00204,0,0.24134,0.26592,0.06985,4.58,1.389,5.968,8.4351,0.95347,NA,NA
"08",119,2016-02-10,28,24.06,443.7,33.46,1421.3,NA,6.55,1.61,239,NA,36.18,0.1937,4.0567,0.18,0.0872,0.4243,0,0.0687,0,0.1006,1.1,12.2432,0.02395,0.00107,0.0033,0.01468,0.01642,0.44084,0.00305,0.00533,0,0.31197,0.34225,0.10363,7.172,0.692,7.866,18.4544,1.26649,NA,NA
"09",119,2016-03-09,23.14,18.45,942,28.45,1352.8,NA,6.49,1.67,221,NA,33.67,0.3185,3.9114,0.2303,0.077,0.4448,0,0.0919,0,0.0968,3.4812,9.3274,0.024278,0.001264,0.00402,0.018141,0.023109,0.508627,0.003812,0.003485,0,0.315679,0.534359,0.134741,4.397,2.529,6.925,17.9793,1.571515,NA,NA
"10",119,2016-04-09,16.22,10.38,728.7,23.47,1390.3,NA,5.84,1.11,277,NA,42.8,0.1913,2.1492,0.2829,0.3614,0.5223,0,0.1131,0.0021,0.0417,4.257,4.768,0.03075,0.00203,0.00282,0.02731,0.02298,0.78863,0.00313,0.00531,0,0.62591,0.68095,0.40549,6.264,2.685,8.95,12.689,2.59531,NA,NA
"11",119,2016-05-11,9.65,5.49,1357.9,14.25,1306.4,NA,7.13,1.83,232,NA,40.77,0.2119,2.7623,0.4176,0.1989,0.507,0,0.3517,0.0042,0.0308,5.9193,4.3172,0.02389,0.0012,0.00375,0.02401,0.01771,0.66371,0.00174,0.00311,0,0.5349,0.81112,0.1471,8.297,1.536,9.835,14.7209,2.23224,NA,NA
"12",119,2016-06-12,2.76,-1.63,621.6,7.88,1411.9,NA,5.93,1.61,222,NA,69.13,0.4511,4.022,0.3759,0.0825,0.7839,0,1.5512,0.0109,0.044,9.82,4.2835,0.04328,0.0026,0.0052,0.03736,0.02542,0.84158,0.00366,0.0077,0,0.59489,0.91451,0.20368,9.406,4.068,13.471,21.425,2.67988,NA,NA
