Start_Date,Assign_ID,Weight_Result,,Start_Date,Assign_ID,Weight_Result
2018-06-01 16:10,P7162981,137.741,,2018-06-02 17:31,5J08455,156.239
2018-06-01 16:31,P7162982,139.001,,2018-06-02 17:51,5J08456,153.841
2018-06-01 16:51,P7162983,135,,2018-06-02 18:13,5J08457,153.663
2018-06-01 17:12,P7162984,136.918,,2018-06-02 18:34,5J08458,155.129
2018-06-01 17:32,P7162985,136.145,,2018-06-02 18:55,5J08459,151.759
2018-06-01 17:53,P7162986,137.7,,2018-06-02 19:15,5J08460,152.101
2018-06-01 18:13,P7162987,137.584,,2018-06-02 19:35,5J08461,147.615
2018-06-01 18:34,P7162988,138.212,,2018-06-02 19:56,5J08462,149.608
2018-06-01 18:57,P7162989,137.358,,2018-06-02 20:18,5J08463,151.159
2018-06-01 19:17,P7162990,137.651,,2018-06-02 20:38,5J08464,151.444
2018-06-01 19:37,P7162991,139.204,,2018-06-02 20:59,7K09324,158.712
2018-06-01 19:57,P7162992,137.356,,2018-06-02 21:21,7K09325,157.478
2018-06-01 20:17,P7162993,136.722,,2018-06-02 21:42,7K09326,159.29
2018-06-01 20:37,P7162994,137.662,,2018-06-02 22:03,7K09327,158.15
2018-06-01 20:57,P7162995,134.212,,2018-06-02 22:23,7K09328,158.512
2018-06-01 21:18,P7162996,135.205,,2018-06-02 22:44,7K09329,158.573
2018-06-01 21:39,P7162997,139.437,,2018-06-02 23:04,7K09330,157.717
2018-06-01 21:59,P7162998,138.331,,2018-06-02 23:25,7K09331,158.468
2018-06-01 22:20,P7162999,139.971,,2018-06-02 23:46,7K09874,158.457
2018-06-01 22:40,P7163000,139.293,,2018-06-03 0:06,7K09875,156.68
2018-06-01 23:01,P7164383,140.344,,2018-06-03 0:27,7K09876,157.477
2018-06-01 23:22,P7164384,138.902,,2018-06-03 0:48,7K09877,157.652
2018-06-01 23:43,P7164385,139.077,,2018-06-03 1:09,7K09878,156.561
2018-06-02 0:04,P7164386,139.761,,2018-06-03 1:30,7K09879,157.442
2018-06-02 0:24,P7164387,140.069,,2018-06-03 1:51,7K09880,157.981
2018-06-02 0:44,P7164388,140.103,,2018-06-03 2:11,7K09881,158.04
2018-06-02 1:06,P7164389,139.987,,2018-06-03 2:32,7K09310,158.643
2018-06-02 1:28,P7164390,140.217,,2018-06-03 2:54,7K09311,157.441
2018-06-02 1:49,P7164391,139.67,,2018-06-03 3:14,7K09891,156.306
2018-06-02 2:09,P7164392,140.661,,2018-06-03 3:36,7K09892,156.85
2018-06-02 2:30,P7164393,140.835,,2018-06-03 3:58,7K09893,156.813
2018-06-02 2:51,P7164394,138.381,,2018-06-03 4:19,7K09894,159.077
2018-06-02 3:12,P7164395,136.02,,2018-06-03 4:39,7K09895,157.953
2018-06-02 3:33,P7164396,139.413,,2018-06-03 5:01,7K09896,158.757
2018-06-02 3:53,P7164397,138.712,,2018-06-03 5:22,7K09340,156.919
2018-06-02 4:14,P7164398,138.096,,2018-06-03 5:42,7K09341,159.474
2018-06-02 4:35,P7164399,136.701,,2018-06-03 6:03,7K09342,160.226
2018-06-02 4:57,P7164400,137.781,,2018-06-03 6:24,7K09343,160.383
2018-06-02 5:17,P7163701,139.044,,2018-06-03 6:45,7K09344,160.375
2018-06-02 5:38,P7163702,139.417,,2018-06-03 7:05,7K09345,160.014
2018-06-02 5:58,P7163703,139.417,,2018-06-03 7:26,7K09346,161.507
2018-06-02 6:19,P7163704,138.471,,2018-06-03 7:47,7K09347,161.159
2018-06-02 6:40,P7163705,136.701,,2018-06-03 8:08,7K09348,161.528
2018-06-02 7:00,P7163706,136.637,,2018-06-03 9:04,7K09349,160.701
