Start_Date,Assign_ID,Weight_Result
2018-06-01 16:10,P7162981,137.741 
2018-06-01 16:31,P7162982,139.001 
2018-06-01 16:51,P7162983,135.000 
2018-06-01 17:12,P7162984,136.918 
2018-06-01 17:32,P7162985,136.145 
2018-06-01 17:53,P7162986,137.700 
2018-06-01 18:13,P7162987,137.584 
2018-06-01 18:34,P7162988,138.212 
2018-06-01 18:57,P7162989,137.358 
2018-06-01 19:17,P7162990,137.651 
2018-06-01 19:37,P7162991,139.204 
2018-06-01 19:57,P7162992,137.356 
2018-06-01 20:17,P7162993,136.722 
2018-06-01 20:37,P7162994,137.662 
2018-06-01 20:57,P7162995,134.212 
2018-06-01 21:18,P7162996,135.205 
2018-06-01 21:39,P7162997,139.437 
2018-06-01 21:59,P7162998,138.331 
2018-06-01 22:20,P7162999,139.971 
2018-06-01 22:40,P7163000,139.293 
2018-06-01 23:01,P7164383,140.344 
2018-06-01 23:22,P7164384,138.902 
2018-06-01 23:43,P7164385,139.077 
2018-06-02 0:04,P7164386,139.761 
2018-06-02 0:24,P7164387,140.069 
2018-06-02 0:44,P7164388,140.103 
2018-06-02 1:06,P7164389,139.987 
2018-06-02 1:28,P7164390,140.217 
2018-06-02 1:49,P7164391,139.670 
2018-06-02 2:09,P7164392,140.661 
2018-06-02 2:30,P7164393,140.835 
2018-06-02 2:51,P7164394,138.381 
2018-06-02 3:12,P7164395,136.020 
2018-06-02 3:33,P7164396,139.413 
2018-06-02 3:53,P7164397,138.712 
2018-06-02 4:14,P7164398,138.096 
2018-06-02 4:35,P7164399,136.701 
2018-06-02 4:57,P7164400,137.781 
2018-06-02 5:17,P7163701,139.044 
2018-06-02 5:38,P7163702,139.417 
2018-06-02 5:58,P7163703,139.417 
2018-06-02 6:19,P7163704,138.471 
2018-06-02 6:40,P7163705,136.701 
2018-06-02 7:00,P7163706,136.637 
2018-06-02 7:22,P7163707,138.159 
2018-06-02 7:43,P7163708,136.865 
2018-06-02 8:06,P7163709,136.019 
2018-06-02 8:27,P7163710,137.201 
2018-06-02 8:49,P7163711,136.293 
2018-06-02 9:11,P7163712,135.687 
2018-06-02 9:32,P7163713,137.464 
2018-06-02 9:53,P7163714,136.652 
2018-06-02 10:14,P7163715,136.474 
2018-06-02 10:35,P7163716,136.329 
2018-06-02 10:56,P7163717,136.343 
2018-06-02 11:17,P7163718,139.449 
2018-06-02 11:37,P7163719,137.948 
2018-06-02 11:58,P7163720,138.062 
2018-06-02 12:19,P7163721,139.004 
2018-06-02 12:40,P7163722,138.065 
2018-06-02 13:00,P7163723,138.359 
2018-06-02 13:21,P7163724,139.203 
2018-06-02 13:42,P7163725,138.240 
2018-06-02 14:03,P7163726,142.066 
2018-06-02 14:23,P7163727,142.002 
2018-06-02 14:46,P7163728,140.138 
2018-06-02 15:06,P7163729,138.714 
2018-06-02 15:27,P7163730,139.220 
2018-06-02 15:48,P7163731,139.989 
2018-06-02 16:08,P7163732,136.669 
2018-06-02 16:29,P7163733,138.005 
2018-06-02 16:50,P7163734,137.694 
2018-06-02 17:10,P7163735,136.605 
2018-06-03 18:50,P7163736,140.155 
2018-06-03 19:11,P7163737,142.794 
2018-06-03 19:31,P7163738,142.817 
2018-06-03 19:51,P7163739,141.132 
2018-06-03 20:11,P7163740,142.453 
2018-06-03 20:32,P7163741,139.803 
2018-06-03 20:52,P7163742,143.149 
2018-06-03 21:12,P7163743,142.665 
2018-06-03 21:32,P7163744,141.624 
2018-06-03 21:53,P7163745,141.960 
2018-06-03 22:13,P7163746,141.809 
2018-06-03 22:33,P7163747,142.678 
2018-06-03 22:54,P7163748,142.166 
2018-06-03 23:14,P7163749,143.208 
2018-06-03 23:34,P7163750,142.434 
2018-06-03 23:55,P7163751,139.807 
2018-06-04 0:15,P7163752,137.044 
2018-06-04 0:35,P7163753,137.796 
2018-06-04 0:58,P7163754,142.232 
2018-06-04 1:19,P7163755,139.567 
2018-06-04 1:39,P7163756,141.749 
2018-06-04 1:59,P7163757,142.814 
2018-06-04 2:20,P7163758,141.397 
2018-06-04 2:41,P7163759,139.596 
2018-06-04 3:01,P7163760,141.180 
2018-06-04 3:22,P7163761,137.937 
2018-06-04 3:43,P7163762,138.581 
2018-06-04 4:03,P7163763,142.006 
2018-06-04 4:23,P7163764,136.147 
2018-06-04 4:44,P7163765,138.916 
2018-06-04 5:04,P7163766,136.686 
2018-06-04 5:25,P7163767,138.058 
2018-06-04 5:46,P7163768,137.905 
2018-06-04 6:07,P7163769,137.226 
2018-06-04 6:28,P7163770,138.067 
2018-06-04 6:48,P7163771,138.934 
2018-06-04 7:09,P7163772,138.946 
2018-06-04 7:32,P7163773,138.665 
2018-06-04 7:53,P7163774,138.064 
2018-06-04 8:14,P7163775,136.788 
2018-06-04 8:34,P7163776,141.663 
2018-06-04 8:55,P7163777,138.367 
2018-06-04 9:16,P7163778,136.896 
2018-06-04 9:37,P7163779,136.593 
2018-06-04 9:58,P7163780,136.206 
2018-06-04 10:18,P7163781,135.507 
2018-06-04 10:39,P7163782,141.478 
2018-06-04 11:00,P7163783,137.499 
2018-06-04 11:20,P7163784,139.911 
2018-06-04 11:41,P7163785,141.891 
2018-06-04 12:02,P7163786,139.321 
2018-06-04 12:22,P7163787,138.646 
2018-06-04 12:43,P7163788,138.005 
2018-06-04 13:03,P7163789,137.818 
2018-06-04 13:23,P7163790,137.955 
2018-06-05 15:23,P7163791,136.612 
2018-06-05 15:43,P7163792,136.383 
2018-06-05 16:03,P7163793,139.049 
2018-06-05 16:26,P7163794,135.076 
2018-06-05 16:46,P7163795,137.321 
2018-06-05 17:06,P7163796,138.676 
2018-06-05 17:26,P7163797,138.582 
2018-06-05 17:47,P7163798,138.820 
2018-06-05 18:07,P7163799,142.067 
2018-06-05 18:28,P7163800,141.859 
2018-06-05 18:48,6B29801,161.858 
2018-06-05 19:09,6B29802,163.185 
2018-06-05 19:29,6B29803,161.464 
2018-06-05 19:50,6B29804,163.246 
2018-06-05 20:11,6B29805,163.357 
2018-06-05 20:31,6B29806,163.703 
2018-06-05 20:52,6B29807,162.676 
2018-06-05 21:13,6B29808,161.016 
2018-06-05 21:33,6B29809,161.481 
2018-06-05 21:54,6B29810,162.026 
2018-06-05 22:15,6B29811,161.513 
2018-06-05 22:35,6B29812,161.282 
2018-06-05 22:57,6B29813,162.702 
2018-06-05 23:18,6B29814,159.821 
2018-06-05 23:39,6B29815,160.286 
2018-06-05 23:59,6B29816,160.345 
2018-06-06 0:20,6B29817,160.631 
2018-06-06 0:40,6B29818,159.866 
2018-06-06 1:01,6B29819,161.828 
2018-06-06 1:22,6B29820,159.155 
2018-06-06 1:42,6B29821,159.436 
2018-06-06 2:03,6B29822,159.324 
2018-06-06 2:23,6B29823,160.529 
2018-06-06 2:43,6B29824,159.455 
2018-06-06 3:04,6B29825,158.842 
2018-06-06 3:25,6B29826,155.778 
2018-06-06 3:45,6B29827,155.810 
2018-06-06 4:06,6B29828,158.462 
2018-06-06 4:26,6B29829,158.025 
2018-06-06 4:47,6B29830,159.065 
2018-06-06 5:08,6B29831,158.328 
2018-06-06 5:31,6B29832,160.059 
2018-06-06 5:51,6B29833,162.456 
2018-06-06 6:11,6B29834,160.967 
2018-06-06 6:32,6B29835,160.889 
2018-06-06 6:52,6B29836,160.403 
2018-06-06 7:13,6B29837,156.622 
2018-06-06 7:35,6B29838,156.600 
2018-06-06 7:55,6B29839,158.130 
2018-06-06 8:17,6B29840,158.363 
2018-06-06 8:37,6B29841,158.118 
2018-06-06 8:58,6B29842,159.160 
2018-06-06 9:19,6B29843,160.655 
2018-06-06 9:40,6B29844,158.641 
2018-06-06 10:01,6B29845,160.952 
2018-06-06 10:21,6B29846,160.551 
2018-06-06 10:42,6B29847,161.458 
2018-06-06 11:03,6B29848,159.594 
2018-06-06 11:24,6B29849,159.848 
2018-06-06 11:44,6B29850,159.593 
2018-06-06 22:27,5J06255,155.234 
2018-06-07 16:41,6B29001,155.190 
2018-06-07 17:01,6B29002,161.083 
2018-06-07 17:21,6B29003,156.534 
2018-06-07 17:42,6B29004,156.461 
2018-06-07 18:02,6B29005,157.039 
2018-06-07 18:22,6B29006,157.107 
2018-06-07 18:43,6B29007,157.857 
2018-06-07 19:03,6B29008,164.130 
2018-06-07 19:23,6B29009,157.361 
2018-06-07 19:43,6B29010,158.208 
2018-06-07 20:03,6B29011,157.540 
2018-06-07 20:24,6B29012,157.732 
2018-06-07 20:46,6B29013,157.693 
2018-06-07 21:07,6B29014,157.275 
2018-06-07 21:27,6B29015,156.722 
2018-06-07 21:48,6B29016,157.611 
2018-06-07 22:08,6B29017,158.744 
2018-06-07 22:28,6B29018,158.560 
2018-06-07 22:49,6B29019,157.983 
2018-06-07 23:10,6B29020,157.155 
2018-06-07 23:30,6B29021,157.132 
2018-06-07 23:51,6B29022,155.723 
2018-06-08 0:11,6B29023,156.828 
2018-06-08 0:32,6B29024,156.829 
2018-06-08 0:53,6B29025,158.028 
2018-06-08 1:14,6B29026,158.190 
2018-06-08 1:34,6B29027,156.889 
2018-06-08 1:55,6B29028,157.298 
2018-06-08 2:16,6B29029,156.532 
2018-06-08 2:37,6B29030,157.649 
2018-06-08 2:58,6B29031,157.760 
2018-06-08 3:21,6B29032,154.847 
2018-06-08 3:42,6B29033,154.330 
2018-06-08 4:03,6B29034,165.746 
2018-06-08 4:24,6B29035,156.115 
2018-06-08 4:44,6B29036,156.341 
2018-06-08 5:05,6B29037,155.425 
