"Time.N","Assign_ID","Wgt.N"
"2018-05-01 16:44","7S16651",157.6282
"2018-05-01 17:06","7S16652",157.3953
"2018-05-01 17:27","7S16653",157.5202
"2018-05-01 17:48","7S16654",157.9605
"2018-05-01 18:09","7S16655",159.2947
"2018-05-01 18:31","7S16656",156.8835
"2018-05-01 18:52","7S16657",157.6047
"2018-05-01 19:13","7S16658",157.7727
"2018-05-01 19:34","7S16659",159.2833
"2018-05-01 19:55","7S16660",158.3432
"2018-05-01 20:16","7S16661",158.3775
"2018-05-01 20:38","7S16662",157.9338
"2018-05-01 20:59","7S16663",157.996
"2018-05-01 21:20","7S16664",158.6565
"2018-05-01 21:41","7S16665",157.5222
"2018-05-01 22:02","7S16666",156.5915
"2018-05-01 22:23","7S16667",158.0985
"2018-05-01 22:44","7S16668",158.8288
"2018-05-01 23:07","7S16669",156.6272
"2018-05-01 23:29","7S16670",157.6642
"2018-05-01 23:50","7S16671",158.268
"2018-05-02 0:11","7S16672",157.9808
"2018-05-02 0:32","7S16673",158.0702
"2018-05-02 0:53","7S16674",157.832
"2018-05-02 1:14","7S16675",158.127
"2018-05-02 1:35","7S16676",157.494
"2018-05-02 1:55","7S16677",158.5947
"2018-05-02 2:16","7S16678",159.7065
"2018-05-02 2:37","7S16679",158.4417
"2018-05-02 2:58","7S16680",156.8708
"2018-05-02 3:19","7S16681",159.3693
"2018-05-02 3:40","7S16682",157.2698
"2018-05-02 4:02","7S16683",156.8268
"2018-05-02 4:24","7S16684",158.2725
"2018-05-02 4:44","7S16685",157.8153
"2018-05-02 5:05","7S16686",158.2605
"2018-05-02 5:28","7S16687",157.8988
"2018-05-02 5:49","7S16688",156.8823
"2018-05-02 6:11","7S16689",158.8395
"2018-05-02 6:32","7S16690",157.5135
"2018-05-02 6:52","7S16691",159.0322
"2018-05-02 7:14","7S16692",158.7237
"2018-05-02 7:34","7S16693",157.8858
"2018-05-02 7:55","7S16694",159.1758
"2018-05-02 8:16","7S16695",158.4322
"2018-05-02 8:37","7S16696",159.9858
"2018-05-02 8:58","7S16697",159.6897
"2018-05-02 9:19","7S16698",158.5428
"2018-05-02 9:40","7S16699",158.0575
"2018-05-02 10:01","7S16700",157.721
"2018-05-02 14:40","7S16851",159.1715
"2018-05-02 15:01","7S16852",159.5163
"2018-05-02 15:21","7S16853",158.2785
"2018-05-02 15:43","7S16854",155.8063
"2018-05-02 16:03","7S16855",158.757
"2018-05-02 16:24","7S16856",158.6762
"2018-05-02 16:45","7S16857",158.3712
"2018-05-02 17:06","7S16858",157.6258
"2018-05-02 17:27","7S16859",158.576
"2018-05-02 17:48","7S16860",159.1582
"2018-05-03 17:36","7S16861",157.7402
"2018-05-03 17:57","7S16862",157.9088
"2018-05-03 18:18","7S16863",157.6573
"2018-05-03 18:39","7S16864",157.4545
"2018-05-03 19:01","7S16865",158.133
"2018-05-03 19:22","7S16866",158.1627
"2018-05-03 19:44","7S16867",159.2958
"2018-05-03 20:05","7S16868",158.6015
"2018-05-03 20:26","7S16869",158.4632
"2018-05-03 20:48","7S16870",156.5468
"2018-05-03 21:10","7S16871",158.899
"2018-05-03 21:30","7S16872",157.261
"2018-05-03 21:51","7S16873",158.2133
"2018-05-03 22:13","7S16874",158.52
"2018-05-03 22:37","7S16875",158.2813
"2018-05-03 22:58","7S16876",158.3273
"2018-05-03 23:20","7S16877",156.1563
