"Time.S","Assign_ID","Wgt.S"
"2018-05-02 18:08","7S16369",157.409
"2018-05-02 18:29","7S16370",159.788
"2018-05-02 18:50","7S16371",157
"2018-05-02 19:11","7S16372",159.71
"2018-05-02 19:32","7S16373",158.818
"2018-05-02 19:52","7S16374",158.861
"2018-05-02 20:14","7S16375",158.267
"2018-05-02 20:34","7S16376",159.598
"2018-05-02 20:58","7S16509",156.755
"2018-05-02 21:18","7S16511",159.792
"2018-05-02 21:40","7S16512",157.297
"2018-05-02 22:00","7S16513",158.487
"2018-05-02 22:22","7S15803",159.739
"2018-05-02 22:43","7S15804",159.171
"2018-05-02 23:04","7S15805",158.226
"2018-05-02 23:25","7S15806",160.158
"2018-05-02 23:47","7S15807",158.295
"2018-05-03 0:07","7S15808",159.379
"2018-05-03 0:28","7S15809",159.431
"2018-05-03 0:48","7S15810",158.774
"2018-05-03 1:09","7S15847",159.659
"2018-05-03 1:31","7S15848",158.172
"2018-05-03 1:52","7S15849",159.385
"2018-05-03 2:15","7S15850",158.066
"2018-05-03 2:36","7S15801",161.405
"2018-05-03 2:58","7S15802",162.056
"2018-05-03 3:21","5S28361",160.48
"2018-05-03 3:42","5S28367",159.791
"2018-05-03 4:04","5S28368",160.345
"2018-05-03 4:26","5S28369",160.441
"2018-05-03 4:47","5S28370",159.06
"2018-05-03 5:08","5S28371",159.523
"2018-05-03 5:29","5S28372",158.338
"2018-05-03 5:51","7S15842",156.918
"2018-05-03 6:13","7S15843",160.184
"2018-05-03 6:34","7S15844",161.218
"2018-05-03 6:56","7S15845",159.786
"2018-05-03 7:17","7S15846",157.57
"2018-05-03 7:39","7S15831",157.405
"2018-05-03 8:00","7S15832",158.17
"2018-05-03 8:21","7S15833",160.627
"2018-05-03 8:42","7S15834",158.152
"2018-05-03 9:03","7S15835",157.806
"2018-05-03 9:24","7S15836",157.25
"2018-05-03 9:46","7S15837",156.495
"2018-05-03 10:07","7S15838",159.139
"2018-05-03 10:28","7S15839",158.605
"2018-05-03 10:50","7S15840",159.261
"2018-05-03 11:10","7S15841",158.896
"2018-05-03 14:22","7S16514",158.475
"2018-05-03 14:44","7S16515",158.523
"2018-05-03 15:05","7S16517",156.926
"2018-05-03 15:26","7S16518",160.809
"2018-05-03 15:47","7S16519",158.72
"2018-05-03 16:10","7S16520",158.44
"2018-05-03 16:32","7S16521",158.994
"2018-05-03 16:53","7S16522",159.714
"2018-05-03 17:15","7S16523",159.92
"2018-05-04 14:22","7S16972",158.669
"2018-05-04 14:43","7S16973",158.621
"2018-05-04 15:04","7S16974",158.303
"2018-05-04 15:25","7S16975",160.623
"2018-05-04 15:47","7S16976",158.062
"2018-05-04 16:09","7S16977",159.183
"2018-05-04 16:30","7S16978",158.424
"2018-05-04 16:52","7S16979",160.105
"2018-05-04 17:14","7S16980",158.805
"2018-05-04 17:35","6C01165",154.901
"2018-05-04 17:56","6C01166",153.786
"2018-05-04 18:17","6C01167",154.651
"2018-05-04 18:39","6C01168",155.958
"2018-05-04 19:00","6C01169",155.481
"2018-05-04 19:21","6C01170",156.225
"2018-05-04 19:43","6C01171",154.748
"2018-05-04 20:04","6C01172",154.378
"2018-05-04 20:25","6C01157",161.861
"2018-05-04 20:49","6C01158",155.643
"2018-05-04 21:10","6C01159",162.183
